word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
夺	duo2	强行挤开通道或闯入	消防员们不顾一切地#夺#门而入，从熊熊烈火中救出了被困的老人和孩子。	暴徒们#夺#窗而入，将店内的贵重物品洗劫一空，整个过程不到五分钟。	他#夺#路狂奔，终于在火车开动前的最后一刻冲上了站台。	洪水来袭时，村民们#夺#门而出，拼命向高处逃生，场面十分混乱。	特警队员们破窗#夺#入，迅速制服了持枪歹徒，成功解救了所有人质。	球迷们情绪激动，#夺#过安保人员的阻拦，冲进球场与球员们庆祝胜利。	那只受惊的野猪#夺#路而逃，撞翻了路边的摊位，引起一阵骚乱。			
夺	duo2	省略或忽略某项内容	这篇文章为了控制篇幅，不得不#夺#去了许多精彩的细节描写。	编辑认为这段论述与主题关联不大，建议作者将其#夺#去以使文章更加紧凑。	由于版面限制，报社#夺#掉了采访稿中关于背景介绍的整整两个段落。	导演在最终剪辑时#夺#去了这场戏，因为它拖慢了整部电影的节奏。	翻译过程中，译者不得不#夺#去一些文化特有的表达，以便目标读者更容易理解。	这份报告#夺#去了技术细节，只保留了管理层最关心的结论和建议。	为了赶在截稿日期前完成，他#夺#去了原本计划写的案例分析部分。			
夺	duo2	失去或被剥夺某物	那场突如其来的车祸#夺#去了他年仅三十岁的生命，留下年幼的孩子和悲痛的妻子。	战争#夺#去了无数家庭的幸福，让整整一代人在废墟中艰难求生。	这场罕见的疫情#夺#去了数以万计的生命，给全球公共卫生体系敲响了警钟。	癌症无情地#夺#去了她最好的朋友，从此她投身于癌症研究事业。	那次金融危机#夺#去了他毕生的积蓄，让他不得不从头开始。	岁月#夺#去了她的青春容颜，却#夺#不走她对生活的热爱和乐观。	地震#夺#去了他的双腿，但他凭借顽强的意志成为了残奥会冠军。			
重伤	zhong4 shang1	严重的伤害或创伤	这起交通事故造成的#重伤#需要至少半年的康复治疗，医疗费用高达数十万元。	法医鉴定报告显示，受害者身上的#重伤#是由钝器反复击打造成的。								
重伤	zhong4 shang1	身体受重创伤势严重	那名消防员在救援过程中被坍塌的横梁砸中，#重伤#昏迷，目前仍在重症监护室抢救。	车祸中#重伤#的司机被紧急送往医院，经过八小时的手术才脱离生命危险。	这位士兵在战斗中#重伤#，但他仍坚持掩护战友撤退，展现了非凡的勇气。	登山队员在攀登途中遭遇雪崩，三人#重伤#，救援直升机正在紧急赶往现场。	工地上的塔吊突然倒塌，导致两名工人#重伤#，安全监管部门已介入调查。	那位记者在报道冲突地区时被流弹击中#重伤#，被同事冒着生命危险送出战区。	爆炸发生时他正站在窗边，被碎玻璃#重伤#，至今脸上还留有明显的疤痕。			
威力	wei1 li4	力量或作用的强度	这款新型导弹的#威力#足以摧毁一座小型城市，引发了国际社会的广泛关注。	台风登陆时的#威力#超出了所有人的预期，沿海地区的房屋几乎被夷为平地。	这种新型抗生素的#威力#非常强大，能够杀灭多种耐药性细菌。	核武器的#威力#在广岛和长崎得到了可怕的验证，从此改变了人类战争的形态。	社交媒体的#威力#在这次选举中充分显现，候选人的一条推文就能左右数百万选民的态度。	这位律师的辩护#威力#惊人，他从未在重大案件中败诉过。	新政策的#威力#逐渐显现，房价在短短三个月内下降了百分之十五。			
锁定	suo3 ding4	把门或物件锁住	离开办公室前，请务必#锁定#所有门窗，并确认保险柜已经上锁。	她习惯性地#锁定#了车门，却发现钥匙还插在点火器上，只好叫来开锁师傅。	博物馆每晚闭馆后都会#锁定#所有展厅的大门，并启动红外线报警系统。	他#锁定#了抽屉，把那份机密文件小心翼翼地放进去，生怕被人发现。	酒店的电子门禁系统会在客人退房后自动#锁定#房门，防止未经授权的人员进入。	银行金库的大门需要两名管理人员同时操作才能#锁定#或开启，以确保安全。	她#锁定#了日记本，把钥匙藏在只有自己知道的地方，保护着少女时代的秘密。			
锁定	suo3 ding4	用闩栓等将门窗关闭固定	暴风雨来临前，他用木闩将所有窗户#锁定#，防止被狂风吹开。	这扇古老的木门需要用铁栓从里面#锁定#，才能抵挡住外面的寒风。	她用插销将浴室门#锁定#，终于可以安心地泡一个热水澡了。	农舍的大门用一根粗木棍#锁定#，这种传统的方式在乡村依然很常见。	船长下令将所有舱门用闩栓#锁定#，准备迎接即将到来的风暴。	他用门闩将仓库大门#锁定#，确保里面存放的粮食不会被野兽偷吃。	这种老式窗户需要用金属插销#锁定#，虽然不如现代锁具方便，但非常牢固。			
锁定	suo3 ding4	将物件固定到位防止移动	摄影师调整好三脚架的角度后，用旋钮将其#锁定#，确保拍摄时不会晃动。	飞机起飞前，乘务员会确认所有行李舱门已经#锁定#，防止飞行途中意外打开。	他将显微镜的载物台#锁定#在合适的位置，开始仔细观察细胞样本。	安装工人将空调外机用膨胀螺栓#锁定#在墙上，确保它不会因震动而松脱。	这款婴儿推车的轮子可以一键#锁定#，在斜坡上停放时非常安全。	天文望远镜的赤道仪需要精确#锁定#，才能长时间追踪同一颗星星。	手术台上的器械托盘被#锁定#在固定位置，方便医生在手术过程中随时取用。			
锁定	suo3 ding4	用于固定或锁住的装置	这款自行车配备了高强度的U型#锁定#，能有效防止被盗。	保险箱采用了最先进的电子#锁定#，需要指纹和密码双重验证才能打开。	汽车的儿童安全座椅配有专用的#锁定#，可以牢牢固定在后座上。	这扇防盗门安装了三重#锁定#，即使是专业的开锁工具也很难打开。	行李箱的密码#锁定#出了故障，她不得不请机场工作人员帮忙打开。	工厂的安全门配备了紧急释放#锁定#，在火灾时可以快速打开疏散人群。	这款笔记本电脑有一个防盗#锁定#插槽，可以用钢缆将电脑固定在桌子上。			
