word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
关系到	guan1 xi4 dao4	对某事产生影响或牵连	这项政策的实施#关系到#千家万户的切身利益，政府必须慎重考虑各方面的意见。	环境保护问题#关系到#子孙后代的生存发展，我们这一代人责无旁贷。	此次谈判的结果#关系到#两国未来十年的经贸合作走向，双方代表都格外谨慎。	教育质量的高低直接#关系到#国家的长远发展和民族的整体素质提升。	这场比赛的胜负#关系到#球队能否晋级决赛，每个队员都拼尽了全力。	食品安全问题#关系到#人民群众的身体健康，监管部门必须严格执法。	企业的诚信经营#关系到#整个行业的声誉，任何一家公司的违规行为都可能产生连锁反应。			
有权	you3 quan2	有权利做某事	根据宪法规定，年满十八周岁的公民#有权#参加选举和被选举。	消费者#有权#要求商家提供商品的详细信息，包括产地、成分和保质期等。	作为房屋的合法所有人，他#有权#决定是否将房产出租或出售。	每个人都#有权#选择自己的生活方式，只要不违反法律和公序良俗。	员工#有权#拒绝公司安排的超出劳动合同约定范围的工作任务。	患者#有权#了解自己的病情和治疗方案，医生有义务如实告知。	公民#有权#对政府部门的工作提出批评和建议，这是民主监督的重要形式。			
有权	you3 quan2	依法或规定上应享有的权利	按照公司章程，股东#有权#查阅公司的财务报表和会议记录。	根据劳动法，女职工在孕期、产期和哺乳期#有权#享受特殊保护。	依据遗嘱法，法定继承人#有权#对遗产分配方案提出异议。	按照国际公约，难民#有权#获得庇护国提供的基本生活保障和人道主义援助。	根据消费者权益保护法，消费者#有权#在七天内无理由退换网购商品。	依照工会法，工会代表#有权#参与企业涉及职工利益的重大决策讨论。	按照物业管理条例，业主#有权#对小区公共设施的使用和维护提出意见。			
有权	you3 quan2	拥有职权或决策权	作为部门主管，她#有权#审批员工的请假申请和报销单据。	董事会#有权#决定公司的重大投资项目和高管人员的任免。	法官#有权#根据案件事实和法律规定作出判决，任何人不得干预。	校长#有权#调整学校的课程设置和教学安排，以适应教育改革的需要。	项目经理#有权#调配团队资源，确保项目按时按质完成。	市长#有权#在紧急情况下启动应急预案，调动各部门协同应对。	主编#有权#决定稿件的采用与否，以及版面的最终编排方案。			
有权	you3 quan2	有影响力或掌握实权的人	在那个年代，他是当地最#有权#有势的人物，没人敢得罪他。	她嫁入了一个#有权#有钱的家族，从此过上了锦衣玉食的生活。	这位#有权#的政客在幕后操控着整个地区的经济命脉。	他虽然只是个小职员，但他的岳父是省里#有权#的领导，所以没人敢小看他。	那些#有权#的人往往能够获得普通人难以企及的资源和机会。	在封建社会，#有权#的贵族可以随意处置平民的生死。	他结交了不少#有权#的朋友，生意上遇到困难总能逢凶化吉。			
世	Shi4	世姓	#世#先生是我们公司新聘请的法律顾问，毕业于北京大学法学院。	据族谱记载，#世#氏家族在明朝时期从山东迁徙至此，已有五百多年历史。	#世#老师在这所学校任教三十年，桃李满天下，深受学生爱戴。	我的邻居#世#大爷今年八十岁了，身体依然硬朗，每天早起打太极拳。	#世#医生是这家医院的骨科专家，很多患者慕名而来求诊。	村里的#世#姓人家不多，只有三四户，但都是勤劳本分的庄稼人。	#世#经理负责公司的海外业务拓展，经常需要出差到世界各地。			
世	shi4	生命或生存状态	他一生坎坷，历经磨难，却始终乐观面#世#，从不怨天尤人。	佛家讲究出#世#与入世的平衡，既要超脱尘俗，又要普度众生。	这位高僧看破红尘，决定遁入空门，从此与#世#隔绝，潜心修行。	她厌倦了尘#世#的纷扰，隐居山林，过着与世无争的田园生活。	这部小说描写了主人公从出生到离#世#的完整人生历程。	老人临终前交代子女，他走后不要大操大办，简单办理后#世#即可。	他虽已年过古稀，但依然积极入#世#，关心国家大事和社会发展。			
世	shi4	年岁或年龄	这位百岁老人历经一#世#沧桑，见证了国家从贫弱走向富强的全过程。	他年近半#世#才开始创业，凭借过人的毅力和智慧最终取得了成功。	奶奶活了大半#世#，最大的心愿就是看到孙子成家立业。	这对夫妻相濡以沫一#世#，从未红过脸，是邻里公认的模范夫妻。	他用了半#世#的时间研究甲骨文，终于在古文字学领域取得了突破性成果。	老教授穷尽一#世#心血编纂的这部辞典，成为后人研究古汉语的重要工具书。	她虽然只活了短短三十#世#，却留下了大量脍炙人口的诗词作品。			
世	shi4	同一代人的群体	这是一部跨越三#世#同堂的家族史诗，记录了一个家庭百年的兴衰变迁。	祖孙三#世#都是医生，悬壶济世的家风代代相传。	他们家四#世#同堂，每逢春节全家二十多口人聚在一起，热闹非凡。	这门手艺传承了五#世#，到他这一代已经有两百多年的历史了。	王氏家族在这个村子里繁衍了十几#世#，是当地最大的宗族。	这本族谱详细记载了我们家族二十#世#的血脉传承和重要人物事迹。	他是家族第三#世#的长子，从小就被寄予厚望，接受严格的教育。			
世	shi4	某一历史时代或时期	二十#世#纪是人类历史上变革最为剧烈的时代，两次世界大战改变了世界格局。	唐#世#是中国古代文化最为繁荣的时期，诗歌艺术达到了前所未有的高度。	在那个乱#世#之中，英雄豪杰辈出，各方势力逐鹿中原。	盛#世#修典是中国古代的传统，太平年代往往会编纂大型典籍。	他的作品深刻反映了那个#世#代的社会矛盾和人民疾苦。	这座古城见证了数个#世#代的更迭，城墙上至今还留有战争的痕迹。	明末清初是一个天崩地裂的#世#变时期，无数文人志士为之殉难。			
