word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
最少	zui4 shao3	数量上处于最低的	根据统计数据显示，今年第三季度的销售额是全年#最少#的，仅占总收入的百分之十五。	在所有参赛选手中，他获得的票数#最少#，只有区区三十二票，远低于其他竞争对手。	这家超市的顾客投诉记录显示，周三的投诉量是一周中#最少#的，平均只有两到三起。	调查报告指出，在五个候选城市中，这座小城的人口数量#最少#，仅有八万余人。	财务部门统计后发现，研发部门本月的报销金额是所有部门中#最少#的，只有三千多元。	在这次马拉松比赛中，完成全程的女性选手人数#最少#，仅占总完赛人数的百分之十二。			
最少	zui4 shao3	尽可能减少到最低限度	为了保护环境，工厂采用了新型净化设备，将废气排放量降到#最少#，几乎达到零排放标准。	医生建议患者在康复期间将剧烈运动减到#最少#，以免对受伤的膝盖造成二次损伤。	这位经验丰富的项目经理总能用#最少#的资源完成最复杂的任务，深受公司高层赏识。	新的生产工艺将原材料浪费控制到#最少#，每吨产品的边角料不超过五公斤。	她精打细算，把家庭开支压缩到#最少#，每个月还能存下一笔可观的积蓄。	这套智能系统能够自动优化路线，将配送时间和燃油消耗降到#最少#，大大提高了物流效率。			
上游	shang4 you2	河流的上游	考古队在长江#上游#的一处河滩发现了距今三千多年的青铜器遗址，引起了学术界的广泛关注。								
上游	shang4 you2	较高的层次或水平	经过十年的技术积累，这家企业终于跻身行业#上游#，成为国内领先的芯片设计公司。	他的学习成绩一直保持在班级#上游#，每次考试都能进入前十名。	这款新产品的性能指标已经达到国际#上游#水平，完全可以与进口品牌一较高下。	通过持续创新和品牌建设，该公司成功从产业链中游向#上游#迈进，掌握了核心技术话语权。					
上游	shang4 you2	组织中的上层阶层或精英	公司的重大决策都由#上游#管理层拍板，普通员工很难参与其中。	他凭借出色的业绩和人脉关系，逐渐进入了集团的#上游#圈子，开始接触核心业务。	在这个行业里，#上游#企业掌握着定价权和资源分配权，中小企业只能被动接受。	政策的制定往往由#上游#决策者主导，基层的声音很难传达到那个层面。	她花了整整八年时间，才从一名普通职员晋升到公司#上游#管理层，成为最年轻的副总裁。	这次改革触动了#上游#利益集团的蛋糕，因此遭到了强烈的抵制和反对。			
上游	shang4 you2	朝河流上游方向	渔民们划着小船向#上游#行进，准备到水流平缓的地方撒网捕鱼。	暴雨过后，大量泥沙从#上游#冲刷下来，导致下游河道严重淤积。	环保志愿者沿着河岸向#上游#徒步考察，记录沿途的水质变化和生态状况。	这条古老的运河连接着#上游#的山区和下游的平原，曾是重要的商贸通道。	科研团队乘坐橡皮艇逆流而上，深入#上游#无人区采集珍贵的水样和生物标本。	洪水来临前，村民们紧急向#上游#的高地转移，避免了一场可能的灾难。			
三五	san1 wu3	若干几个	每到周末，他总会约上#三五#好友到郊外钓鱼，享受难得的休闲时光。	老人坐在村口的大树下，和#三五#邻居聊着家长里短，打发漫长的午后。	她在异乡工作多年，身边只有#三五#知己，但这份友情却格外珍贵。	退休后的生活很简单，每天就是和#三五#老伙伴下下棋、喝喝茶。	这家小酒馆虽然不起眼，却是文人墨客#三五#成群聚会的好去处。	他喜欢独处，偶尔才会和#三五#同事出去聚餐，平时都是一个人吃饭。			
三五	san1 wu3	三或五	这道数学题要求学生计算#三五#相乘的结果，是最基础的乘法练习。	按照传统习俗，祭祀时需要摆放#三五#个水果，数量必须是单数。	老师让学生们#三五#个人一组进行讨论，每组人数不能超过五人。	这种药材的用量很讲究，每次只能取#三五#克，多了反而会有副作用。	古代军队行军时，士兵们#三五#成列，保持严整的队形前进。	她每天早起练习书法，每个字都要写#三五#遍才肯罢休。			
不适	bu4 shi4	身体感到不舒服	连续加班一周后，她感到浑身#不适#，头痛欲裂，不得不请假回家休息。								
不适	bu4 shi4	轻微病痛或不适应症状	医生诊断后表示，患者只是轻微的肠胃#不适#，服用几天药物就能康复。	长途飞行后出现的时差#不适#让他整整两天都昏昏沉沉，无法集中精力工作。	初到高原地区，很多游客都会出现头晕、气短等高原#不适#反应。	这款新药的临床试验显示，部分受试者出现了轻微的皮肤#不适#，但症状很快消失。	换季时节，她总会出现一些过敏性#不适#，眼睛发痒、鼻子不通气。	孕早期的妊娠#不适#让她食欲全无，闻到油烟味就想吐。			
