word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
探究	tan4 jiu1	系统地调查或研究问题	学术委员会决定成立专项小组，系统#探究#气候变化对本地区农业生产的长期影响，并提出相应的应对策略。					
探究	tan4 jiu1	深入挖掘细节和内在原因	这位资深记者花了三年时间#探究#这起腐败案件背后的利益链条，终于揭开了隐藏在表面之下的惊人真相。	心理学家通过大量访谈和案例分析，#探究#青少年网络成瘾的深层心理动因，发现家庭关系缺失是主要诱因之一。	他不满足于表面的解释，执意要#探究#祖父当年离开故乡的真正原因，这一追问让他发现了一段尘封的家族秘史。	这部纪录片深入#探究#了传统手工艺消亡的内在原因，从经济、文化、社会多个维度进行了细致的剖析。	研究团队#探究#了患者病情反复发作的根本原因，最终发现是某种罕见的基因突变在作祟。	她在论文中#探究#了明清时期江南地区商业繁荣的深层动力，提出了不同于前人的独到见解。				
探究	tan4 jiu1	仔细探查事物的来龙去脉	警方正在#探究#这批文物的流转路径，试图弄清它们是如何从博物馆失窃后辗转流入黑市的。	历史学家们#探究#了这份古老契约的来龙去脉，发现它记录了一段鲜为人知的土地交易历史。	审计人员仔细#探究#了这笔巨额资金的流向，从源头到终点逐一核实每一个环节。	记者#探究#了这条谣言的传播路径，发现最初是从一个不知名的社交账号发出的。	考古队#探究#了这座古墓的建造过程，从选址、设计到施工，每个细节都进行了详尽的考证。	她花了半年时间#探究#这幅名画的收藏史，终于理清了它在过去两百年间辗转多国的完整经历。				
探究	tan4 jiu1	询问并调查以获得真相	家长们联名向学校#探究#食堂食品安全问题，要求校方公开供应商资质和食材来源。	记者向相关部门#探究#这起事故的责任认定情况，但得到的答复含糊其辞，令人难以信服。	居民代表多次向物业公司#探究#维修基金的使用明细，却始终没有得到满意的答复。	股东们在年会上#探究#公司高管薪酬大幅上涨的依据，要求董事会给出合理解释。	患者家属向医院#探究#手术失败的具体原因，希望得到一个真实透明的说法。	村民们向镇政府#探究#征地补偿款迟迟未能发放的原因，要求相关负责人出面说明情况。				
探究	tan4 jiu1	着手调查并处理有关问题	纪检部门已经开始#探究#群众举报的干部违规问题，承诺会在规定时限内给出处理结果。	市场监管局正在#探究#消费者投诉的产品质量问题，一旦查实将依法对涉事企业进行处罚。	学校已着手#探究#学生反映的宿舍安全隐患问题，并表示将尽快完成整改。	环保部门决定#探究#附近居民反映的工厂排污问题，派出专业人员进行实地检测。	银行已经开始#探究#客户账户异常变动的问题，初步怀疑是内部系统出现了漏洞。	人力资源部门正在#探究#员工反映的加班费计算错误问题，核实后将及时补发差额。				
推断	tui1 duan4	根据证据作出结论	法医根据现场遗留的痕迹和尸检报告，#推断#死者的死亡时间应在凌晨两点至四点之间。					
推断	tui1 duan4	由已知事实演绎出结论	根据嫌疑人的作案手法和活动轨迹，侦探#推断#出他很可能是一名有过类似犯罪经历的惯犯。	从这些出土文物的风格和工艺特征，考古学家#推断#这座墓葬的年代应该在西汉中期。	医生根据患者的症状表现和检查结果，#推断#病因很可能是长期接触某种有毒化学物质所致。	语言学家通过比较多种方言的语音特征，#推断#出这些方言应该源自同一个古老的语系。	根据账目中的种种异常，审计师#推断#这家公司存在系统性的财务造假行为。	从信件的措辞和笔迹特征，专家#推断#这封匿名信的作者应该是一位受过良好教育的中年男性。				
推断	tui1 duan4	据现有信息预测未来情况	气象专家根据卫星云图和历史数据，#推断#这场台风将在未来四十八小时内登陆东南沿海地区。	经济学家根据当前的市场走势和政策动向，#推断#明年的通货膨胀率可能会有所上升。	分析师根据公司近几个季度的财报数据，#推断#其股价在未来半年内有较大的上涨空间。	地质学家根据地壳运动的监测数据，#推断#该地区未来十年内发生大地震的概率较高。	专家根据目前的疫情发展态势，#推断#如果不采取更严格的防控措施，感染人数可能会继续攀升。	研究人员根据人口结构的变化趋势，#推断#二十年后这个国家将面临严重的劳动力短缺问题。				
推断	tui1 duan4	由部分资料外推估计整体或趋势	研究人员通过分析部分样本的数据，#推断#整个群体的平均寿命应该在七十五岁左右。	统计学家根据抽样调查的结果，#推断#全国范围内持相同观点的民众比例约为百分之六十。	科学家通过观测少数几颗系外行星的特征，#推断#银河系中可能存在数以亿计的宜居星球。	市场调研公司根据几个重点城市的销售数据，#推断#该产品在全国市场的总销量将突破一千万件。	生态学家通过对部分区域的物种调查，#推断#整个保护区内的生物多样性水平远超预期。	人口学家根据几个典型省份的生育率数据，#推断#全国的人口增长率将在未来五年内持续下降。				
走访	zou3 fang3	到人家或机构进行探访	记者#走访#了多家养老院，发现部分机构存在护理人员配备不足、服务质量参差不齐等问题。	社区工作人员定期#走访#辖区内的独居老人，了解他们的生活状况和实际需求。	调查组#走访#了事故发生地周边的居民和商户，收集了大量第一手的目击证词。	为了撰写这本村史，他花了整整两年时间#走访#村里的老人，记录下许多珍贵的口述历史。	志愿者们#走访#了山区的贫困家庭，为孩子们送去学习用品和过冬衣物。	督察组#走访#了多家企业和基层单位，实地检查环保政策的落实情况。				
