sentence	spans	defs
传教区有四名司铎，唯一一个堂区位于首都阿什哈巴德。	0:传教 1:教区 6:司铎 9:唯一 10:一一 11:一个 13:堂区 14:区位 15:位于 17:首都 19:阿什哈巴德	一一 [yi1 yi1] one by one; one after another; 一个 [yi1 ge5] a; an; one / the whole (afternoon, summer vacation etc); 传教 [chuan2 jiao4] to preach; to evangelize; 位于 [wei4 yu2] to be located at; 区位 [qu1 wei4] geographical location / (computing) row-cell (i.e. the row 區|区[qu1] and cell 位[we...; 唯一 [wei2 yi1] only; sole; 堂区 [tang2 qu1] parish; 教区 [jiao4 qu1] diocese; parish
大学期间，我迎来了互联网以及其他不同事物的到来，例如现在比特币的到来一样。	0:大学 1:学期 2:期间 6:迎来 9:互联/互联网 10:联网 12:以及 13:及其 14:其他 16:不同 17:同事 18:事物 21:到来 24:例如 26:现在 28:比特/比特币 32:到来 34:一样	不同 [bu4 tong2] different; not the same; 事物 [shi4 wu4] thing; object / CL:個|个[ge4]; 互联 [hu4 lian2] interconnected; 互联网 [Hu4 lian2 wang3] Internet; 以及 [yi3 ji2] and; as well as; 其他 [qi2 ta1] other; else; the rest; 及其 [ji2 qi2] (conjunction linking two nouns) and its ...; and their .....; 同事 [tong2 shi4] colleague; co-worker; 大学 [Da4 xue2] the Great Learning, one of the Four Books 四書|四书[Si4 shu1]... | [da4 xue2] university; college / CL:所[suo3]; 学期 [xue2 qi1] term; semester / CL:個|个[ge4]; 期间 [qi1 jian1] period of time / CL:個|个[ge4]; 比特 [bi3 te4] bit (binary digit) (loanword); 比特币 [Bi3 te4 bi4] Bitcoin (cryptocurrency); 联网 [lian2 wang3] to connect (or be connected) to a network; to network
对红霉素、新霉素、庆大霉素、四环素、氯霉素、卡那霉素等抗生素敏感。	1:红霉素 2:霉素 5:新霉素 6:霉素 9:庆大霉素 11:霉素 14:四环素 18:氯霉素 19:霉素 24:霉素 27:抗生素 30:敏感	庆大霉素 [qing4 da4 mei2 su4] gentamycin (antibiotic); 新霉素 [xin1 mei2 su4] neomycin (antibiotic); 氯霉素 [lu:4 mei2 su4] chloramphenicol (antibiotic), aka chloromycetin; 红霉素 [hong2 mei2 su4] erythromycin; 霉素 [mei2 su4] (biochemistry) -mycin
‎说不定是恐怖电影的广告之类的	1:说不定 2:不定 5:恐怖/恐怖电影 7:电影 10:广告 11:告之 12:之类	不定 [bu4 ding4] indefinite; indeterminate / (botany) adventitious; 之类 [zhi1 lei4] and so on; and such; 告之 [gao4 zhi1] to tell sb; to inform; 广告 [guang3 gao4] to advertise; advertisement / CL:項|项[xiang4]; 恐怖 [kong3 bu4] terrible; frightening; terror / terrorist; 恐怖电影 [kong3 bu4 dian4 ying3] horror movie; 电影 [dian4 ying3] movie; film / CL:部[bu4],片[pian4],場|场[chang3]; 说不定 [shuo1 bu5 ding4] maybe; can't say for sure
这个溜冰场我其实在这个溜冰场长大	0:这个 2:溜冰/溜冰场 3:冰场 6:其实 7:实在 9:这个 11:溜冰/溜冰场 12:冰场 14:长大	其实 [qi2 shi2] actually; in fact; really; 冰场 [bing1 chang3] ice rink; ice arena; 实在 [shi2 zai4] really; actually; true; real / honest; dependable / (philosophy) reality; 溜冰 [liu1 bing1] ice skating / (slang) to do meth; 溜冰场 [liu1 bing1 chang3] ice rink; skating rink
他被龙太郎称呼为沙悟净（他亦称呼龙太郎为孙悟空）。	5:称呼 8:沙悟净 9:悟净 13:亦称 14:称呼 20:孙悟空 21:悟空	亦称 [yi4 cheng1] also known as; alternative name; 孙悟空 [Sun1 Wu4 kong1] Sun Wukong, the Monkey King, character with supernatural ... / Son Goku, the main character in Dragon Ball 七龍珠|七龙珠[Qi1 l...; 悟净 [Wu4 jing4] see 沙悟淨|沙悟净[Sha1 Wu4 jing4]; 悟空 [Wu4 Kong1] Sun Wukong, the Monkey King, character with supernatural ...; 沙悟净 [Sha1 Wu4 jing4] Sha Wujing, aka Friar Sand or Sandy, one of the three dis...; 称呼 [cheng1 hu5] to address as; form of address
但是，领导人的个人崇拜明显是对约瑟夫·斯大林的影射。	0:但是 3:领导/领导人 7:个人/个人崇拜 9:崇拜 11:明显 15:约瑟/约瑟夫/约瑟夫·斯大林 19:斯大林 20:大林 23:影射	个人 [ge4 ren2] individual; personal; 个人崇拜 [ge4 ren2 chong2 bai4] personality cult; 大林 [Da4 lin2] Dalin or Talin Town in Chiayi County 嘉義縣|嘉义县[Jia1 yi4 Xia...; 崇拜 [chong2 bai4] to worship; to adore; 斯大林 [Si1 da4 lin2] Joseph Stalin (1879-1953), Soviet dictator; 约瑟 [Yue1 se4] Joseph (name); 约瑟夫 [Yue1 se4 fu1] Joseph (name); 约瑟夫·斯大林 [Yue1 se4 fu1 · Si1 da4 lin2] Joseph Stalin (1879-1953), Soviet dictator; 领导 [ling3 dao3] to lead; leader; leadership / CL:位[wei4],個|个[ge4]; 领导人 [ling3 dao3 ren2] leader
厂部之下设有生产科、供销科、安全和管理科等机构。	2:之下 3:下设 4:设有 6:生产 7:产科 10:供销 14:安全 17:管理 18:理科 21:机构	下设 [xia4 she4] (of an organization) to have as a subunit; 之下 [zhi1 xia4] under; beneath; less than; 产科 [chan3 ke1] obstetrics; maternity department; 理科 [li3 ke1] the sciences (as opposed to the humanities 文科[wen2 ke1]); 生产 [sheng1 chan3] to produce; to manufacture / to give birth to a child; 管理 [guan3 li3] to manage; to administer; management / CL:個|个[ge4]; 设有 [she4 you3] to have; to incorporate; to feature
这些植物可没办法用电子表格搞定这样只会让你手足无措	0:这些 2:植物 5:没办法 6:办法 9:电子/电子表/电子表格 11:表格 13:搞定 15:这样 21:手足/手足无措 23:无措	办法 [ban4 fa3] way of handling sth; means; measure; (practical) solution... / CL:條|条[tiao2],個|个[ge4]; 手足 [shou3 zu2] hands and feet / (fig.) brothers / retinue, henchmen, accomplices; 手足无措 [shou3 zu2 wu2 cuo4] at a loss to know what to do (idiom); bewildered; 无措 [wu2 cuo4] helpless; 没办法 [mei2 ban4 fa3] there is nothing to be done; can't help it; 电子 [dian4 zi3] electronic / electron (particle physics); 电子表 [dian4 zi3 biao3] electric watch; electronic watch; digital watch; 电子表格 [dian4 zi3 biao3 ge2] (computing) spreadsheet; 表格 [biao3 ge2] form; table / CL:張|张[zhang1],份[fen4]
居民绝大多数为客家人，通行客家话。	0:居民 2:绝大多数 3:大多/大多数 4:多数 7:客家/客家人 8:家人 11:通行 12:行客 13:客家/客家话	多数 [duo1 shu4] majority; most; 大多 [da4 duo1] mostly; for the most part; 大多数 [da4 duo1 shu4] (great) majority; 客家 [Ke4 jia1] Hakka ethnic group, a subgroup of the Han that in the 13t...; 客家人 [Ke4 jia1 ren2] Hakka people; 客家话 [Ke4 jia1 hua4] Hakka dialect; 家人 [jia1 ren2] family member / (old) servant; 绝大多数 [jue2 da4 duo1 shu4] the vast majority; 行客 [xing2 ke4] visitor; traveler; 通行 [tong1 xing2] to go through; to pass through / to be in general use
