sentence	spans	defs
东盎格利亚没有留下任何以盎格鲁撒克逊神祇命名的聚落可以证明其基督教化的全面性。	5:没有 7:留下 8:下任 9:任何 10:何以 12:盎格鲁/盎格鲁撒克逊 15:撒克逊 18:神祇 20:命名 23:聚落 25:可以 27:证明 30:基督/基督教 32:教化 35:全面	下任 [xia4 ren4] next office holder; next to serve; 任何 [ren4 he2] any; whatever; whichever; 何以 [he2 yi3] (literary) why / how; 基督 [Ji1 du1] Christ (abbr. for 基利斯督[Ji1 li4 si1 du1] or 基利士督[Ji1 li4 s...; 基督教 [Ji1 du1 jiao4] Christianity; Christian; 撒克逊 [Sa1 ke4 xun4] Saxon (people); 教化 [jiao4 hua4] to enlighten; to civilize; to indoctrinate / to train (an animal); 留下 [liu2 xia4] to leave behind; to stay; to remain; 盎格鲁 [Ang4 ge2 lu3] Anglo-; 盎格鲁撒克逊 [Ang4 ge2 lu3 Sa1 ke4 xun4] Anglo-Saxon (people)
此外他对葱属和风车子属植物写过单行本出版物。	0:此外 4:葱属 6:和风 7:风车 8:车子 11:植物 15:单行/单行本 18:出版/出版物	出版 [chu1 ban3] to publish; 出版物 [chu1 ban3 wu4] publications; 单行 [dan1 xing2] to come individually; to treat separately / separate edition / one-way traffic; 单行本 [dan1 xing2 ben3] single volume edition; offprint; 和风 [he2 feng1] breeze / (Tw) Japanese-style (cooking etc); 车子 [che1 zi5] car or other vehicle (bicycle, truck etc); 风车 [feng1 che1] pinwheel / windmill
但我大吃一惊，这是封恐吓信冷静点，把所有财宝收拾好，放进旅行袋	2:大吃/大吃一惊 10:恐吓 13:冷静 14:静点 18:所有 20:财宝 22:收拾 26:放进 28:旅行/旅行袋	冷静 [leng3 jing4] calm; cool-headed; dispassionate / (of a place) deserted; quiet; 大吃 [da4 chi1] to gorge oneself; to pig out; 大吃一惊 [da4 chi1 yi1 jing1] (idiom) astounded; flabbergasted; taken aback; 旅行 [lu:3 xing2] to travel; journey / CL:趟[tang4],次[ci4]; 旅行袋 [lu:3 xing2 dai4] travel bag; 静点 [jing4 dian3] a hospital drip
中国上古文化中就有通过烤炙龟甲并判断裂纹走向预言吉凶的习俗，这也是甲骨文的来源。	0:中国 2:上古 3:古文 4:文化 9:通过 11:烤炙 13:龟甲 16:判断 17:断裂 18:裂纹 20:走向 22:预言 24:吉凶 27:习俗 33:甲骨/甲骨文 37:来源	上古 [shang4 gu3] ancient times; antiquity; 判断 [pan4 duan4] to judge; to determine; judgment; 古文 [gu3 wen2] Classical Chinese; the Classics; 文化 [wen2 hua4] culture; civilization / CL:個|个[ge4],種|种[zhong3]; 断裂 [duan4 lie4] to fracture; to rupture; to break apart; 甲骨 [jia3 gu3] tortoise shells and animal bones used for divination in t...; 甲骨文 [jia3 gu3 wen2] oracle bone script; 裂纹 [lie4 wen2] crack; flaw
节日期间埃因霍温市的典型建筑物和场所都被绚丽多彩，神秘莫测的各式人工光源点亮。	0:节日 1:日期 2:期间 4:埃因霍温 10:典型 12:建筑/建筑物 16:场所 20:绚丽/绚丽多彩 22:多彩 25:神秘/神秘莫测 32:人工 34:光源 35:源点 36:点亮	光源 [guang1 yuan2] light source; 多彩 [duo1 cai3] colorful; flamboyant; 建筑 [jian4 zhu4] to construct; building / CL:個|个[ge4]; 建筑物 [jian4 zhu4 wu4] building; structure; edifice; 日期 [ri4 qi1] date / CL:個|个[ge4]; 期间 [qi1 jian1] period of time / CL:個|个[ge4]; 源点 [yuan2 dian3] source; 点亮 [dian3 liang4] to illuminate; to turn on the lights / to light (a blaze); 神秘 [shen2 mi4] mysterious; mystery; 神秘莫测 [shen2 mi4 mo4 ce4] unfathomable; enigmatic; 绚丽 [xuan4 li4] gorgeous; magnificent; 绚丽多彩 [xuan4 li4 duo1 cai3] (idiom) bright and colorful; gorgeous; magnificent; 节日 [jie2 ri4] holiday; festival / CL:個|个[ge4]
在遥远的堪察加半岛的同一时间，另一类数目惊人的种群也在行动之中。	1:遥远 4:堪察加/堪察加半岛 7:半岛 10:同一 11:一时/一时间 12:时间 15:另一 16:一类 18:数目 20:惊人 23:种群 26:在行 27:行动 29:之中	一时 [yi1 shi2] for a while; temporarily; momentarily / at the same time; 一时间 [yi1 shi2 jian1] for a moment; momentarily; 一类 [yi1 lei4] same type / category 1 (i.e. class A); 半岛 [ban4 dao3] peninsula; 另一 [ling4 yi1] another; the other; 同一 [tong2 yi1] identical; the same; 在行 [zai4 hang2] to be adept at; to be an expert in; 堪察加 [Kan1 cha2 jia1] Kamchatka (peninsula in far eastern Russia); 堪察加半岛 [Kan1 cha2 jia1 Ban4 dao3] Kamchatka Peninsula, far-eastern Russia; 时间 [shi2 jian1] time; 行动 [xing2 dong4] action; operation / to move about; mobile / CL:個|个[ge4]
跳舞的房子是荷兰国民人寿保险公司大楼的绰号，位于捷克共和国布拉格闹区。	0:跳舞 3:房子 5:是荷 6:荷兰 8:国民 10:人寿/人寿保险 12:保险 14:公司 16:大楼 19:绰号 22:位于 24:捷克/捷克共和国 26:共和/共和国 29:布拉格 32:闹区	人寿 [ren2 shou4] human lifespan / life insurance (abbr. for 人壽保險|人寿保险[ren2 shou4 bao3 xian3]); 人寿保险 [ren2 shou4 bao3 xian3] life insurance; 保险 [bao3 xian3] insurance; to insure / safe; secure; sure / CL:份[fen4]; 共和 [gong4 he2] republic; republicanism; 共和国 [gong4 he2 guo2] republic; 捷克 [Jie2 ke4] Czech Republic; 捷克共和国 [Jie2 ke4 Gong4 he2 guo2] Czech Republic; 是荷 [shi4 he2] (written) (at the end of a request in letters) I would be...; 荷兰 [He2 lan2] Holland; the Netherlands
另外在距离案发现场500米外的垃圾堆里发现了用来犯案的短枪	0:另外 1:外在 3:距离 5:案发/案发现场 6:发现 7:现场 15:垃圾/垃圾堆 19:发现 22:用来 23:来犯 24:犯案	发现 [fa1 xian4] to notice; to discover; a discovery; 另外 [ling4 wai4] additional; other; moreover; besides; 垃圾 [la1 ji1] trash; garbage; refuse / (coll.) of poor quality / Taiwan pr. [le4 se4]; 垃圾堆 [la1 ji1 dui1] garbage heap; 外在 [wai4 zai4] external; extrinsic; 来犯 [lai2 fan4] (of enemy forces) to invade; to attack; 案发 [an4 fa1] (of a crime) to occur; to be discovered / to investigate a crime on the spot; 案发现场 [an4 fa1 xian4 chang3] crime scene; 犯案 [fan4 an4] to commit a crime or offense; 现场 [xian4 chang3] the scene; on the spot; at the site; 用来 [yong4 lai2] to be used for
官话注音符号制订后，全国各地拼写本地汉语语言。	0:官话 2:注音/注音符号 3:音符 4:符号 6:制订 10:全国/全国各地 12:各地 14:拼写 15:写本 16:本地 18:汉语 20:语言	全国 [quan2 guo2] whole nation; nationwide; national; 全国各地 [quan2 guo2 ge4 di4] every part of the country; 写本 [xie3 ben3] handwritten copy of a book; 各地 [ge4 di4] various regions; all parts of a country; 拼写 [pin1 xie3] to spell; 本地 [ben3 di4] local; this locality; 注音 [zhu4 yin1] phonetic notation; Bopomofo; 注音符号 [zhu4 yin1 fu2 hao4] Mandarin phonetic symbols (MPS), phonetic alphabet for Ch...; 符号 [fu2 hao4] symbol; mark; sign; 音符 [yin1 fu2] (music) note / phonetic component; phonetic symbol
我经历了许多事，也体验了许多生命中的酸甜苦辣。	1:经历 4:许多 5:多事 9:体验 12:许多 14:生命 15:命中 16:中的 18:酸甜/酸甜苦辣	中的 [zhong4 di4] to hit the target; to hit the nail on the head; 命中 [ming4 zhong4] to hit (a target); 多事 [duo1 shi4] meddlesome / eventful; 生命 [sheng1 ming4] life; living being; 许多 [xu3 duo1] many; much; a lot of; 酸甜 [suan1 tian2] sour and sweet; 酸甜苦辣 [suan1 tian2 ku3 la4] all kinds of flavors; the joys and sorrows of life
