sentence	spans	defs
通过皮肤吸收后，皮质类固醇的药代动力学途径与静脉注射的皮质类固醇相似。	0:通过 2:皮肤 4:吸收 8:皮质/皮质类固醇 10:类固醇 11:固醇 14:药代动力学 16:动力/动力学 17:力学 19:途径 22:静脉/静脉注射 24:注射 27:皮质/皮质类固醇 29:类固醇 30:固醇 32:相似	力学 [li4 xue2] mechanics / to study hard; 动力 [dong4 li4] motive power / (fig.) motivation; impetus; 动力学 [dong4 li4 xue2] dynamics (math.) / kinetics; 固醇 [gu4 chun2] sterol (chemistry); 注射 [zhu4 she4] injection; to inject; 皮质 [pi2 zhi4] cortex; 皮质类固醇 [pi2 zhi4 lei4 gu4 chun2] corticosteroid; 类固醇 [lei4 gu4 chun2] steroid; 药代动力学 [yao4 dai4 dong4 li4 xue2] pharmacokinetics; 静脉 [jing4 mai4] vein; 静脉注射 [jing4 mai4 zhu4 she4] intravenous injection
平常谈吐相当有气质，但兴奋起来会用语粗俗且满口脏话。	0:平常 2:谈吐 4:相当 6:有气质 7:气质 11:兴奋 12:奋起 13:起来 16:用语 18:粗俗 21:满口/满口脏话 23:脏话	兴奋 [xing1 fen4] excited; excitement; 奋起 [fen4 qi3] to rise vigorously; 有气质 [you3 qi4 zhi4] to have class; classy; 气质 [qi4 zhi4] temperament; aura; refinement; 满口 [man3 kou3] a full mouth of (sth tangible) / to have the mouth exclusively filled with (a certain lang... / (to agree etc) unreservedly; 满口脏话 [man3 kou3 zang1 hua4] to pour out obscenities; filthy mouthed; 脏话 [zang1 hua4] profanity; obscene language; 起来 [qi3 lai5] to stand up; to get up / also pr. [qi3lai2] | [qi5 lai5] (after a verb) indicating the beginning and continuation ... / indicating an upward movement (e.g. after 站[zhan4]) / indicating completion / (after a perception verb, e.g. 看[kan4]) expressing prelim... / also pr. [qi3lai5]
曾任中央研究院生物多样性研究中心主任。	2:中央/中央研究院 4:研究/研究院 7:生物/生物多样性 9:多样/多样性 12:研究/研究中心 14:中心 16:主任	中央 [zhong1 yang1] central; middle; center / central authorities (of a state); 中央研究院 [Zhong1 yang1 Yan2 jiu1 yuan4] Academia Sinica, research institution headquartered in Ta...; 中心 [zhong1 xin1] center; heart; core; 多样 [duo1 yang4] diverse; diversity; manifold; 多样性 [duo1 yang4 xing4] variegation; diversity; 生物 [sheng1 wu4] organism; living creature; biological / CL:個|个[ge4]; 生物多样性 [sheng1 wu4 duo1 yang4 xing4] biodiversity; 研究 [yan2 jiu1] research; to research / CL:項|项[xiang4]; 研究中心 [yan2 jiu1 zhong1 xin1] research center; 研究院 [yan2 jiu1 yuan4] research institute; academy
任何重金属离子（如硫酸铜中的铜离子）可以作为过氧化氢酶的非竞争性抑制剂。	0:任何 2:重金/重金属 3:金属 5:离子 9:硫酸/硫酸铜 12:中的 15:离子 18:可以 20:作为 22:过氧/过氧化/过氧化氢/过氧化氢酶 23:氧化 25:氢酶 29:竞争/竞争性 32:抑制/抑制剂 33:制剂	制剂 [zhi4 ji4] (chemical or pharmaceutical) preparation; 抑制 [yi4 zhi4] to inhibit; to suppress; 抑制剂 [yi4 zhi4 ji4] suppressant; inhibitor; 氢酶 [qing1 mei2] hydrogenase (enzyme); 氧化 [yang3 hua4] to oxidize; 硫酸 [liu2 suan1] sulfuric acid H2SO4 / sulfate; 硫酸铜 [liu2 suan1 tong2] copper sulfate CuSO4; 竞争 [jing4 zheng1] to compete; competition; 竞争性 [jing4 zheng1 xing4] competitive; 过氧 [guo4 yang3] peroxy-; peroxide; 过氧化 [guo4 yang3 hua4] peroxide; 过氧化氢 [guo4 yang3 hua4 qing1] hydrogen peroxide H2O2; 过氧化氢酶 [guo4 yang3 hua4 qing1 mei2] catalase; 重金 [zhong4 jin1] large sum of money; 重金属 [zhong4 jin1 shu3] heavy metal; 金属 [jin1 shu3] metal / CL:種|种[zhong3]
永宁县：宁夏回族自治区银川市辖下的一个县。	0:永宁/永宁县 1:宁县 4:宁夏/宁夏回族自治区 6:回族 8:自治/自治区 11:银川/银川市 17:一个	回族 [Hui2 zu2] Hui Islamic ethnic group living across China; 宁县 [Ning2 Xian4] Ning County or Ningxian, a county in Qingyang City 慶陽市|庆阳...; 宁夏 [Ning2 xia4] see 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1]; 宁夏回族自治区 [Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1] Ningxia Hui Autonomous Region, capital Yinchuan 銀川市|银川市[Y...; 永宁 [Yong3 ning2] Yongning county in Yinchuan 銀川|银川[Yin2 chuan1], Ningxia; 永宁县 [Yong3 ning2 xian4] Yongning county in Yinchuan 銀川|银川[Yin2 chuan1], Ningxia; 自治 [zi4 zhi4] autonomy; 自治区 [zi4 zhi4 qu1] autonomous region – a provincial-level administrative div...; 银川 [Yin2 chuan1] see 銀川市|银川市[Yin2 chuan1 Shi4]; 银川市 [Yin2 chuan1 Shi4] Yinchuan, prefecture-level city and capital of Ningxia Hu...
今晚的监控标配包括假冒雅痞一名在公车站假装看短信假装流浪汉一名有点冒犯人	0:今晚 3:监控 5:标配 7:包括 9:假冒 11:雅痞 16:公车 17:车站 19:假装 22:短信 24:假装 26:流浪/流浪汉 31:有点 33:冒犯 34:犯人	公车 [gong1 che1] bus / car belonging to an organization and used by its members ... / abbr. for 公共汽車|公共汽车[gong1 gong4 qi4 che1] / abbr. for 公務用車|公务用车[gong1 wu4 yong4 che1]; 冒犯 [mao4 fan4] to offend; 流浪 [liu2 lang4] to wander; homeless; vagrant; 流浪汉 [liu2 lang4 han4] tramp; wanderer; 犯人 [fan4 ren2] convict; prisoner; criminal; 车站 [che1 zhan4] station; stop / CL:處|处[chu4],個|个[ge4]
大部分地区已转变成人工林，用以农业和畜牧业。	0:大部/大部分 1:部分 2:分地 3:地区 6:转变 7:变成 8:成人 9:人工 13:用以 15:农业 18:畜牧/畜牧业 19:牧业	人工 [ren2 gong1] artificial / manpower; manual work; 分地 [fen1 di4] to distribute land; 变成 [bian4 cheng2] to change into; to become; 地区 [di4 qu1] region; area (informal or geographical term) / prefecture (in China's administrative system); 大部 [da4 bu4] the greater part; the majority; most; 大部分 [da4 bu4 fen5] the greater part; the majority; most / Taiwan pr. [da4bu4fen4]; 成人 [cheng2 ren2] to reach adulthood; an adult; 牧业 [mu4 ye4] livestock husbandry; animal product industry; 畜牧 [xu4 mu4] to raise animals; 畜牧业 [xu4 mu4 ye4] animal husbandry; livestock raising; 转变 [zhuan3 bian4] to change; to transform / CL:個|个[ge4]; 部分 [bu4 fen5] part; portion; piece / Taiwan pr. [bu4fen4]
勒谢奈是法国法兰西岛中北部伊夫林省的一个旧市镇。	4:法国 5:国法 6:法兰/法兰西 7:兰西 10:中北部 11:北部 18:一个 19:个旧/个旧市 21:市镇	一个 [yi1 ge5] a; an; one / the whole (afternoon, summer vacation etc); 个旧 [Ge4 jiu4] see 個舊市|个旧市[Ge4 jiu4 Shi4]; 个旧市 [Ge4 jiu4 Shi4] Gejiu, a county-level city in Honghe Hani and Yi Autonomo...; 中北部 [zhong1 bei3 bu4] north central area; 兰西 [Lan2 xi1] see 蘭西縣|兰西县[Lan2 xi1 Xian4]; 北部 [bei3 bu4] northern part; 国法 [guo2 fa3] national law; 市镇 [shi4 zhen4] small town; 法兰 [fa3 lan2] flange (loanword); 法兰西 [Fa3 lan2 xi1] France; 法国 [Fa3 guo2] France
在乌兹别克斯坦，俄语并非官方语言，但为通用语。	1:乌兹别克/乌兹别克斯坦 3:别克 8:俄语 10:并非 11:非官方 12:官方/官方语言 14:语言 19:通用/通用语 20:用语	乌兹别克 [Wu1 zi1 bie2 ke4] Uzbek / abbr. for Uzbekistan; 乌兹别克斯坦 [Wu1 zi1 bie2 ke4 si1 tan3] Uzbekistan; 别克 [Bie2 ke4] Buick; 官方 [guan1 fang1] official; government; 官方语言 [guan1 fang1 yu3 yan2] official language; 并非 [bing4 fei1] really isn't; 用语 [yong4 yu3] wording; phrasing / term; 语言 [yu3 yan2] language / CL:門|门[men2],種|种[zhong3]; 通用 [tong1 yong4] in common/general use / (of two or more things) interchangeable; 通用语 [tong1 yong4 yu3] common language; lingua franca; 非官方 [fei1 guan1 fang1] unofficial
生于南海西塲（今广州市荔湾区），父屈宜遇入赘邵家。	2:南海 3:海西 8:广州/广州市 11:荔湾/荔湾区 20:入赘	南海 [Nan2 Hai3] South China Sea | [Nan2 hai3] see 南海區|南海区[Nan2 hai3 Qu1]; 广州 [Guang3 zhou1] see 廣州市|广州市[Guang3 zhou1 Shi4]; 广州市 [Guang3 zhou1 Shi4] Guangzhou, sub-provincial city and capital of Guangdong P...; 海西 [Hai3 xi1] see 海西蒙古族藏族自治州[Hai3 xi1 Meng3 gu3 zu2 Zang4 zu2 Zi4 zhi4 zhou1]; 荔湾 [Li4 wan1] see 荔灣區|荔湾区[Li4 wan1 Qu1]; 荔湾区 [Li4 wan1 Qu1] Liwan, a district of Guangzhou City 廣州市|广州市[Guang3 zhou1 ...
