sentence	spans	defs
外用克林霉素加外用过氧化苯甲酰比单独外用克林霉素更有效。	0:外用 2:克林霉素 4:霉素 7:外用 9:过氧/过氧化/过氧化苯甲酰 10:氧化 16:单独 18:外用 20:克林霉素 22:霉素 25:有效	克林霉素 [ke4 lin2 mei2 su4] clindamycin; 氧化 [yang3 hua4] to oxidize; 过氧 [guo4 yang3] peroxy-; peroxide; 过氧化 [guo4 yang3 hua4] peroxide; 过氧化苯甲酰 [guo4 yang3 hua4 ben3 jia3 xian1] benzoil peroxide; 霉素 [mei2 su4] (biochemistry) -mycin
后任复旦大学遗传工程国家重点实验室主任。	0:后任 2:复旦/复旦大学 4:大学 6:遗传/遗传工程 8:工程 10:国家/国家重点实验室 12:重点 14:实验/实验室 17:主任	国家 [guo2 jia1] country; nation; state / CL:個|个[ge4]; 国家重点实验室 [Guo2 jia1 Zhong4 dian3 Shi2 yan4 shi4] State Key Laboratories (university laboratories in PRC su...; 复旦 [Fu4 dan4] Fudan University, Shanghai, abbr. for 復旦大學|复旦大学[Fu4 dan4 ...; 复旦大学 [Fu4 dan4 Da4 xue2] Fudan University, Shanghai; 大学 [Da4 xue2] the Great Learning, one of the Four Books 四書|四书[Si4 shu1]... | [da4 xue2] university; college / CL:所[suo3]; 实验 [shi2 yan4] experiment; to experiment / CL:個|个[ge4],次[ci4]; 实验室 [shi2 yan4 shi4] laboratory / CL:間|间[jian1]; 工程 [gong1 cheng2] engineering / engineering project; undertaking / CL:個|个[ge4],項|项[xiang4]; 遗传 [yi2 chuan2] heredity; to inherit or pass on genetically; 遗传工程 [yi2 chuan2 gong1 cheng2] genetic engineering; 重点 [chong2 dian3] to recount (e.g. results of election) / to re-evaluate | [zhong4 dian3] key point; focus; to emphasize
是代表的仪仗队，由1955年成立至今，延续蒙古人民共和国的人民军仪仗队。	1:代表 4:仪仗/仪仗队 13:年成 14:成立 16:至今 19:延续 21:蒙古/蒙古人/蒙古人民共和国 22:古人 23:人民 25:共和/共和国 29:人民 32:仪仗/仪仗队	人民 [ren2 min2] the people / CL:個|个[ge4]; 仪仗 [yi2 zhang4] ceremonial weaponry; 仪仗队 [yi2 zhang4 dui4] honor guard; guard of honor; 共和 [gong4 he2] republic; republicanism; 共和国 [gong4 he2 guo2] republic; 古人 [gu3 ren2] people of ancient times; the ancients / extinct human species such as Homo erectus or Homo neande... / (literary) deceased person; 年成 [nian2 cheng5] the year's harvest; 成立 [cheng2 li4] to establish; to set up / to be tenable; to hold water; 蒙古 [Meng3 gu3] Mongolia; 蒙古人 [Meng3 gu3 ren2] Mongol; 蒙古人民共和国 [Meng3 gu3 Ren2 min2 Gong4 he2 guo2] People's Republic of Mongolia (from 1924)
分为八强赛（第一阶段、第二阶段）、四强赛、总决赛。	0:分为 2:八强/八强赛 6:第一 8:阶段 11:第二 12:二阶 13:阶段 17:四强/四强赛 21:总决赛 22:决赛	二阶 [er4 jie1] second order; quadratic; 八强 [ba1 qiang2] top eight; quarterfinals; 八强赛 [ba1 qiang2 sai4] quarterfinals; 决赛 [jue2 sai4] finals (of a competition); 四强 [si4 qiang2] the top four; 四强赛 [si4 qiang2 sai4] semifinals; 总决赛 [zong3 jue2 sai4] finals (sports); 第二 [di4 er4] second; number two; next / secondary; 阶段 [jie1 duan4] stage; phase; period / CL:個|个[ge4]
当高铁血红蛋白遇到氰化物后会合成为无毒的氰化高铁血红蛋白。	1:高铁/高铁血红蛋白 2:铁血 3:血红蛋白 4:红蛋 5:蛋白 7:遇到 9:氰化物 13:会合 14:合成 15:成为 17:无毒 22:高铁/高铁血红蛋白 23:铁血 24:血红蛋白 25:红蛋 26:蛋白	会合 [hui4 he2] to meet; to rendezvous; meeting / to merge; to link up; confluence; 合成 [he2 cheng2] to synthesize; synthesis; synthetic; compound; 成为 [cheng2 wei2] to become; to turn into; 红蛋 [hong2 dan4] red-dyed egg, traditionally given to friends and relative...; 蛋白 [dan4 bai2] egg white; albumen / protein; 血红蛋白 [xue4 hong2 dan4 bai2] hemoglobin; 铁血 [tie3 xue4] iron and blood; (fig.) weapons and war; bloody conflict / (of a person) iron-willed and ready to die; 高铁 [gao1 tie3] high speed rail; 高铁血红蛋白 [gao1 tie3 xue4 hong2 dan4 bai2] methemoglobin
它允许在编译时确定作为真正的常量表达式。	1:允许 3:在编 4:编译 7:确定 8:定作 9:作为 11:真正 14:常量 15:量表 16:表达/表达式	作为 [zuo4 wei2] conduct; deed; accomplishment / as; in the capacity of / to regard as; to view as; 在编 [zai4 bian1] (of personnel or positions) having permanent status under...; 定作 [ding4 zuo4] to have sth made to order; 常量 [chang2 liang4] a constant (physics, math.); 确定 [que4 ding4] definite; certain / to determine; to ascertain; to confirm / to recognize; 编译 [bian1 yi4] to translate and edit; translator-editor / (computing) to compile (source code); 表达 [biao3 da2] to express; to convey; 表达式 [biao3 da2 shi4] expression (math.); 量表 [liang2 biao3] gauge; meter; scale
温布顿足球俱乐部，前英格兰超级联赛球会，现改名为米尔顿凯恩斯足球会。	0:温布顿 2:顿足 3:足球 5:俱乐部 10:英格兰 13:超级 14:级联 15:联赛 17:球会 21:改名 22:名为 24:米尔顿 27:凯恩斯 30:足球 31:球会	名为 [ming2 wei2] to be called; to be known as; 改名 [gai3 ming2] to rename; 温布顿 [Wen1 bu4 dun4] Wimbledon; 球会 [qiu2 hui4] (HK) ball sports club (soccer, basketball etc); 级联 [ji2 lian2] cascade; cascading; 联赛 [lian2 sai4] sports league; league tournament; 超级 [chao1 ji2] super-; ultra-; hyper-; 足球 [zu2 qiu2] soccer; football / a soccer ball; a football (CL:個|个[ge4]); 顿足 [dun4 zu2] stamp (one's feet)
经历过由良要塞司令官、桦太守备队司令官等职务。	0:经历 5:要塞 7:司令/司令官 12:太守 13:守备 16:司令/司令官 20:职务	司令 [si1 ling4] commanding officer; 司令官 [si1 ling4 guan1] commander; officer in charge; 太守 [tai4 shou3] governor of a province; 守备 [shou3 bei4] to garrison; to stand guard
然而这一请求遭到了来自信奉天主教的斯拉夫人以及西方教会萨格勒布主教的反对。	0:然而 4:请求 6:遭到 7:到了 9:来自 10:自信 11:信奉 12:奉天 13:天主/天主教 14:主教 17:斯拉夫 18:拉夫 19:夫人 21:以及 23:西方 25:教会 27:萨格勒布 28:格勒 31:主教 34:反对	主教 [zhu3 jiao4] bishop; 信奉 [xin4 feng4] to believe in; belief; 到了 [dao4 liao3] at last; finally; in the end; 天主 [Tian1 zhu3] God (in Catholicism) / abbr. for 天主教[Tian1 zhu3 jiao4], Catholicism; 天主教 [Tian1 zhu3 jiao4] Catholicism; 夫人 [fu1 ren5] lady; madam; Mrs. / CL:位[wei4]; 奉天 [Feng4 tian1] old name for Shenyang 瀋陽|沈阳 in modern Liaoning province; 拉夫 [la1 fu1] to press-gang; to force into service; 斯拉夫 [Si1 la1 fu1] Slavic; 来自 [lai2 zi4] to come from; from; 格勒 [ge2 le4] (onom.) laughing or gurgling sound; 自信 [zi4 xin4] self-confidence; to have confidence in oneself; 萨格勒布 [Sa4 ge2 le4 bu4] Zagreb, capital of Croatia 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4]; 遭到 [zao1 dao4] to suffer; to meet with misfortune
你这样子对待人怪不得没有人尊重你	1:这样/这样子 2:样子 4:对待 5:待人 7:怪不得 8:不得 10:没有 11:有人 13:尊重	不得 [bu4 de2] must not; may not; cannot; 对待 [dui4 dai4] to treat; treatment; 待人 [dai4 ren2] to treat people (politely, harshly etc); 怪不得 [guai4 bu5 de5] no wonder; so that's why; 有人 [you3 ren2] someone; people; anyone / there is someone; occupied; 样子 [yang4 zi5] appearance; manner / pattern; model; 没有 [mei2 you3] to not have; doesn't exist; haven't; 这样 [zhe4 yang4] this kind of; this way; like this; 这样子 [zhe4 yang4 zi5] so; this way; like this
