sentence	spans	defs
长板板面上极多时候会贴上砂纸或喷砂，以增加鞋和板的摩擦力，更容易抓住长板。	0:长板 1:板板 2:板面 6:多时 7:时候 12:砂纸 15:喷砂 19:增加 25:摩擦/摩擦力 30:容易 32:抓住 34:长板	多时 [duo1 shi2] long time; 摩擦 [mo2 ca1] friction; rubbing / disharmony; conflict / also written 磨擦; 摩擦力 [mo2 ca1 li4] friction; 时候 [shi2 hou5] time; moment; period; 板板 [ban3 ban3] solemn; 板面 [ban3 mian4] pan mee, aka banmian, a Hakka noodle soup dish, popular i...; 长板 [chang2 ban3] longboard
多罗格格，清太祖努尔哈赤之玄孙女，其父为穆尔祜，其母为扎鲁特蒙古台吉固禄之女。	1:罗格 2:格格 5:清太祖 6:太祖 8:努尔哈赤 13:玄孙 14:孙女 27:扎鲁特 30:蒙古	太祖 [tai4 zu3] Great Ancestor (posthumous title, e.g. for the founder of...; 孙女 [sun1 nu:3] granddaughter; 格格 [ge1 ge1] variant of 咯咯[ge1 ge1] | [ge2 ge5] princess (loanword from Manchu, used in the Qing Dynasty); 清太祖 [Qing1 Tai4 zu3] posthumous title of Nurhaci 努爾哈赤|努尔哈赤[Nu3 er3 ha1 chi4] (...; 玄孙 [xuan2 sun1] great-great-grandson; 罗格 [Luo2 ge2] Rogge; Logue (name)
中华人民共和国政治人物、第十三届全国人民代表大会辽宁省代表。	0:中华/中华人民共和国 1:华人 2:人民 4:共和/共和国 6:国政 7:政治/政治人物 9:人物 13:十三 16:全国/全国人民代表大会 17:国人 18:人民/人民代表 20:代表 22:大会 24:辽宁/辽宁省 27:代表	中华 [Zhong1 hua2] China; Chinese civilization; 中华人民共和国 [Zhong1 hua2 Ren2 min2 Gong4 he2 guo2] People's Republic of China; 人民 [ren2 min2] the people / CL:個|个[ge4]; 人民代表 [ren2 min2 dai4 biao3] deputy to the People's Congress; 人物 [ren2 wu4] person; personage; figure (esp. sb of importance) / character (in a play, novel etc) / (genre of traditional Chinese painting) figure painting; 代表 [dai4 biao3] to represent; representative / CL:位[wei4],個|个[ge4],名[ming2]; 全国 [quan2 guo2] whole nation; nationwide; national; 全国人民代表大会 [Quan2 guo2 Ren2 min2 Dai4 biao3 Da4 hui4] National People's Congress (NPC); 共和 [gong4 he2] republic; republicanism; 共和国 [gong4 he2 guo2] republic; 华人 [Hua2 ren2] ethnic Chinese person or people; 国人 [guo2 ren2] compatriots; fellow countrymen; 国政 [guo2 zheng4] national politics / archaic rank, "Minister of State" / common given name; 大会 [da4 hui4] general assembly; convention / CL:個|个[ge4],屆|届[jie4]; 政治 [zheng4 zhi4] politics; political; 政治人物 [zheng4 zhi4 ren2 wu4] political figure; politician; statesman; 辽宁 [Liao2 ning2] see 遼寧省|辽宁省[Liao2 ning2 Sheng3]; 辽宁省 [Liao2 ning2 Sheng3] Liaoning Province, capital Shenyang 瀋陽市|沈阳市[Shen3 yang2 S...
流体动力学底下的子学科包括有空气动力学和液体动力学。	0:流体/流体动力学 2:动力/动力学 3:力学 5:底下 9:学科 11:包括 13:有空 14:空气/空气动力/空气动力学 15:气动 16:动力/动力学 17:力学 20:液体 22:动力/动力学 23:力学	力学 [li4 xue2] mechanics / to study hard; 动力 [dong4 li4] motive power / (fig.) motivation; impetus; 动力学 [dong4 li4 xue2] dynamics (math.) / kinetics; 有空 [you3 kong4] to have time (to do sth); 气动 [qi4 dong4] pneumatic; 流体 [liu2 ti3] fluid; 流体动力学 [liu2 ti3 dong4 li4 xue2] fluid dynamics; 空气 [kong1 qi4] air / atmosphere; 空气动力 [kong1 qi4 dong4 li4] aerodynamic force; 空气动力学 [kong1 qi4 dong4 li4 xue2] aerodynamics
事实上，心血管疾病一直是二型糖尿病患者的头号杀手。	0:事实/事实上 4:心血/心血管/心血管疾病 5:血管 7:疾病 9:一直 14:糖尿病 16:病患 17:患者 20:头号 22:杀手	事实 [shi4 shi2] fact / CL:個|个[ge4]; 事实上 [shi4 shi2 shang4] in fact; actually; de facto; 心血 [xin1 xue4] heart's blood / painstaking effort; expenditure of care; 心血管 [xin1 xue4 guan3] cardiovascular; 心血管疾病 [xin1 xue4 guan3 ji2 bing4] cardiovascular disease; 患者 [huan4 zhe3] patient; sufferer; 疾病 [ji2 bing4] disease; sickness; ailment; 病患 [bing4 huan4] illness; disease / patient; sufferer; 糖尿病 [tang2 niao4 bing4] diabetes; diabetes mellitus; 血管 [xue4 guan3] blood vessel / CL:根[gen1]
中共北京市委宣传部长鲁炜任国家互联网信息办公室主任。	0:中共 2:北京/北京市 4:市委 6:宣传/宣传部 8:部长 13:国家/国家互联网信息办公室 15:互联/互联网 16:联网 18:信息 20:办公/办公室 21:公室 23:主任	互联 [hu4 lian2] interconnected; 互联网 [Hu4 lian2 wang3] Internet; 信息 [xin4 xi1] information; news; message; 公室 [gong1 shi4] office (room) / ruling families during Spring and Autumn period; 办公 [ban4 gong1] to handle official business (usu. in an office); to do (o...; 办公室 [ban4 gong1 shi4] office; business premises; 北京 [Bei3 jing1] Beijing municipality, capital of the People's Republic of...; 北京市 [Bei3 jing1 Shi4] Beijing municipality, capital of the People's Republic of...; 国家 [guo2 jia1] country; nation; state / CL:個|个[ge4]; 国家互联网信息办公室 [Guo2 jia1 Hu4 lian2 wang3 Xin4 xi1 Ban4 gong1 shi4] Cyberspace Administration of China (CAC); 宣传 [xuan1 chuan2] to disseminate; to publicize; propaganda / CL:個|个[ge4]; 宣传部 [Xuan1 chuan2 bu4] Propaganda Department; 市委 [shi4 wei3] municipal committee; 联网 [lian2 wang3] to connect (or be connected) to a network; to network; 部长 [bu4 zhang3] head of a department; minister / CL:個|个[ge4],位[wei4],名[ming2]
建筑师为梁少光建筑师事务所有限公司。	0:建筑/建筑师 7:建筑/建筑师 10:事务/事务所 12:所有 13:有限/有限公司 15:公司	事务 [shi4 wu4] affairs; work / transaction (as in a computer database); 事务所 [shi4 wu4 suo3] business office; firm; 公司 [gong1 si1] company; firm; corporation / CL:家[jia1]; 建筑 [jian4 zhu4] to construct; building / CL:個|个[ge4]; 建筑师 [jian4 zhu4 shi1] architect; 所有 [suo3 you3] all / to have; to possess; to own; 有限 [you3 xian4] limited; finite; 有限公司 [you3 xian4 gong1 si1] limited company; corporation
据埃尔帕索警察局发言人称，目前没有嫌疑人，也没有目击者。	1:埃尔帕索 5:警察/警察局 8:发言/发言人 10:人称 13:目前 15:没有 17:嫌疑/嫌疑人 22:没有 24:目击/目击者	人称 [ren2 cheng1] person (first person, second person etc in grammar) / called; known as; 发言 [fa1 yan2] to make a speech; statement / CL:個|个[ge4]; 发言人 [fa1 yan2 ren2] spokesperson; 嫌疑 [xian2 yi2] suspicion; to suspect; 嫌疑人 [xian2 yi2 ren2] a suspect; 目击 [mu4 ji1] to witness; to see with one's own eyes; 目击者 [mu4 ji1 zhe3] eyewitness; 警察 [jing3 cha2] police; police officer; 警察局 [jing3 cha2 ju2] police station; police department
设计来源自七福神中的智慧女神辩才天和印度教的吉祥天女。	0:设计 2:来源 3:源自 8:中的 10:智慧 12:女神 14:辩才/辩才天 16:天和 18:印度/印度教 22:吉祥	印度 [Yin4 du4] India; 印度教 [Yin4 du4 jiao4] Hinduism; 天和 [tian1 hu2] (mahjong) heavenly hand; 来源 [lai2 yuan2] source; origin; 源自 [yuan2 zi4] to originate from; 辩才 [bian4 cai2] eloquence; 辩才天 [bian4 cai2 tian1] Saraswati (the Hindu goddess of wisdom and arts and conso...
关于一个中学篮球队他们都有超能力	0:关于 2:一个 3:个中 4:中学 6:篮球/篮球队 7:球队 9:他们 13:超能力 14:能力	一个 [yi1 ge5] a; an; one / the whole (afternoon, summer vacation etc); 个中 [ge4 zhong1] therein; in this; 中学 [zhong1 xue2] middle school; 球队 [qiu2 dui4] sports team (basketball, soccer, football etc); 篮球 [lan2 qiu2] basketball / CL:個|个[ge4],隻|只[zhi1]; 篮球队 [lan2 qiu2 dui4] basketball team; 能力 [neng2 li4] capability; ability / CL:個|个[ge4]; 超能力 [chao1 neng2 li4] superpower; superhuman power
