sentence	spans	defs
去年１０月在上海第八届全运会上大幅度刷新女子５０００米世界纪录的中国长跑名将姜波和董艳梅，今天在友好运动会的５０００米决赛中的失常令人难以置信。	0:去年 6:上海 11:全运会 15:大幅/大幅度 16:幅度 18:刷新 20:女子 27:世界/世界纪录 29:纪录 32:中国 34:长跑 36:名将 45:今天 48:友好 49:好运 50:运动/运动会 59:决赛 61:中的 63:失常 65:令人 67:难以/难以置信 69:置信	世界 [shi4 jie4] world / CL:個|个[ge4]; 世界纪录 [shi4 jie4 ji4 lu4] world record; 友好 [You3 hao3] see 友好區|友好区[You3 hao3 Qu1] | [you3 hao3] friendly; amicable / close friend; 大幅 [da4 fu2] large-format (picture, banner, photo etc) / substantially; by a wide margin; 大幅度 [da4 fu2 du4] substantially; by a wide margin; 好运 [hao3 yun4] good luck; 幅度 [fu2 du4] width / extent; range; scope; 纪录 [ji4 lu4] variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense "to record"); 置信 [zhi4 xin4] to believe (what sb claims) (usually used in the negative) / (math.) confidence (interval etc); 运动 [yun4 dong4] to move; motion / to exercise; sports / movement; campaign / CL:場|场[chang3]; 运动会 [yun4 dong4 hui4] sports competition / CL:個|个[ge4]; 难以 [nan2 yi3] hard to (predict, imagine etc); 难以置信 [nan2 yi3 zhi4 xin4] (idiom) hard to believe; incredible
然而，金士尧和战友们，并没有被困难所吓倒。	0:然而 7:战友 12:没有 14:被困 15:困难 18:吓倒	困难 [kun4 nan5] difficult; challenging / straitened circumstances; 被困 [bei4 kun4] to be trapped; to be stranded
“港人治港”在立法的涵义上真正落到了实处。	1:港人 2:人治 7:立法 10:涵义 13:真正 16:到了	人治 [ren2 zhi4] rule of man; 港人 [Gang3 ren2] Hong Kong person or people
上海的公交车起点站分为“坐队”、“站队”。	0:上海 3:公交/公交车 6:起点 9:分为 17:站队	公交 [gong1 jiao1] public transportation / abbr. for 公共交通[gong1 gong4 jiao1 tong1]; 公交车 [gong1 jiao1 che1] public bus / CL:輛|辆[liang4]
何香凝是现代画家，国民党左派廖仲恺的夫人。	4:现代 6:画家 9:国民/国民党 12:左派 18:夫人	国民 [guo2 min2] nationals; citizens; people of a nation; 国民党 [Guo2 min2 dang3] Kuomintang; Nationalist Party
喀麦隆队教练勒罗伊对被判无效的球感到不满。	0:喀麦隆 4:教练 12:无效 15:球感 16:感到 18:不满	感到 [gan3 dao4] to feel; to sense; to perceive; 球感 [qiu2 gan3] feel for the ball
６月份第一周，墨西哥扫毒斗争取得两大成果：科利马贩毒集团毒枭路易斯和赫苏斯两兄弟１日分别在哈利斯科州和墨西哥城被警方抓获，７日海湾贩毒集团两头目戈麦斯和卡尔德拉斯也落入法网。	1:月份 3:第一 4:一周 7:墨西哥 12:斗争 13:争取 14:取得 18:成果 22:利马 24:贩毒 26:集团 28:毒枭 30:路易/路易斯 38:兄弟 42:分别 45:哈利 51:墨西哥/墨西哥城 56:警方 58:抓获 63:海湾 65:贩毒 67:集团 69:两头 70:头目 76:卡尔 77:尔德 82:落入/落入法网 84:法网	一周 [yi1 zhou1] one week / all the way around; a whole cycle; 两头 [liang3 tou2] both ends / both parties to a deal; 争取 [zheng1 qu3] to strive for; to fight for; to win over; 卡尔 [Ka3 er3] Karl (name); 取得 [qu3 de2] to acquire; to get; to obtain; 墨西哥 [Mo4 xi1 ge1] Mexico; 墨西哥城 [Mo4 xi1 ge1 cheng2] Mexico City, capital of Mexico; 头目 [tou2 mu4] ringleader; gang leader; chieftain; 尔德 [Er3 de2] Eid (Islam); 斗争 [dou4 zheng1] struggle; fight; battle; 法网 [Fa3 wang3] French Open (tennis tournament) | [fa3 wang3] the net of justice; the long arm of the law; 第一 [di4 yi1] first; foremost; 落入 [luo4 ru4] to fall into; 落入法网 [luo4 ru4 fa3 wang3] to fall into the net of justice (idiom); finally arrested; 路易 [Lu4 yi4] (name) Louis; 路易斯 [Lu4 yi4 si1] Louis or Lewis (name)
他用一个字就将李白、杜甫、韩愈、苏轼每个人作品的特点极准确地表达出来，区别开来。	0:他用 2:一个 7:李白 10:杜甫 13:韩愈 16:苏轼 18:每个/每个人 19:个人 21:作品 24:特点 27:准确 29:地表 30:表达 32:出来 35:区别	个人 [ge4 ren2] individual; personal; 地表 [di4 biao3] the surface (of the earth); 每个 [mei3 ge4] each; every; 每个人 [mei3 ge5 ren2] everybody; everyone; 表达 [biao3 da2] to express; to convey
一旦语音输入等人机接口技术以及“眼球跟踪器”等电脑视觉系统和机器翻译等技术进一步成熟之后，将会出现更加友好的人机对话界面，加快电脑写作模式的普及。	0:一旦 2:语音 4:输入 9:接口 10:口技 11:技术 13:以及 16:眼球 18:跟踪/跟踪器 23:电脑 25:视觉 27:系统 30:机器/机器翻译 32:翻译 35:技术 37:进一步 40:成熟 42:之后 45:将会 47:出现 49:更加 51:友好 56:对话 58:界面 61:加快 63:电脑 65:写作 67:模式 70:普及	口技 [kou3 ji4] vocal mimicry; beatboxing / ventriloquism; 技术 [ji4 shu4] technology; technique; skill / CL:門|门[men2],種|种[zhong3],項|项[xiang4]; 接口 [jie1 kou3] interface; port; connector; 机器 [ji1 qi4] machine / CL:臺|台[tai2],部[bu4],個|个[ge4]; 机器翻译 [ji1 qi4 fan1 yi4] machine translation; 翻译 [fan1 yi4] to translate; to interpret; translator; translation / CL:個|个[ge4],位[wei4],名[ming2]; 跟踪 [gen1 zong1] to track; to tail; to shadow; 跟踪器 [gen1 zong1 qi4] tracker (device)
第二条本条例所称房地产开发经营，是指房地产开发企业在城市规划区内国有土地上进行基础设施建设、房屋建设，并转让房地产开发项目或者销售、出租商品房的行为。	0:第二 4:条例 8:房地产 9:地产 11:开发 13:经营 18:房地产 19:地产 21:开发 23:企业 26:城市/城市规划 28:规划 32:国有 34:土地 35:地上 36:上进 37:进行 39:基础/基础设施 41:设施 43:建设 46:房屋 48:建设 52:转让 54:房地产 55:地产 57:开发 59:项目 61:或者 63:销售 66:出租 68:商品 72:行为	上进 [shang4 jin4] to make progress; to strive to improve / to move forwards; 土地 [tu3 di4] land; soil; territory / CL:片[pian4],塊|块[kuai4] | [tu3 di5] local god; genius loci; 地上 [di4 shang5] on the ground; on the floor; 地产 [di4 chan3] real estate; landed estate; landed property; 城市 [cheng2 shi4] city; town / CL:座[zuo4]; 城市规划 [cheng2 shi4 gui1 hua4] town planning; 基础 [ji1 chu3] foundation; basic; 基础设施 [ji1 chu3 she4 shi1] infrastructure; 房地产 [fang2 di4 chan3] real estate; 规划 [gui1 hua4] to plan; a plan; 设施 [she4 shi1] facilities; installation; 进行 [jin4 xing2] to proceed; to carry out / (of an army etc) to be on the march; to advance
