sentence	spans	defs
网球场、高尔夫球练习场和正在构建的游泳馆等休息场地与碧波荡漾的同心湖、开阔视野的慧聚塔配套，增添了生活的情趣。	0:网球/网球场 1:球场 4:高尔夫/高尔夫球 8:练习/练习场 12:正在 14:构建 17:游泳/游泳馆 21:休息 23:场地 27:波荡 28:荡漾 31:同心 35:开阔 37:视野 43:配套 46:增添 49:生活 52:情趣	波荡 [bo1 dang4] to heave; to surge; 游泳 [you2 yong3] swimming; to swim; 游泳馆 [you2 yong3 guan3] indoor swimming pool; natatorium; 球场 [qiu2 chang3] sports venue for ball games / CL:個|个[ge4],處|处[chu4]; 练习 [lian4 xi2] to practice; exercise / CL:個|个[ge4]; 练习场 [lian4 xi2 chang3] practice ground; practice court; 网球 [wang3 qiu2] tennis / tennis ball / CL:個|个[ge4]; 网球场 [wang3 qiu2 chang3] tennis court; 荡漾 [dang4 yang4] to ripple; to undulate / also written 蕩漾|荡漾[dang4 yang4]; 高尔夫 [gao1 er3 fu1] (loanword) golf; 高尔夫球 [gao1 er3 fu1 qiu2] golf / golf ball
还有一些影片，如《超导》、《生命如歌》、《上海新娘》、《激情辩护》、《朗朗星空》、《黄连厚朴》、《爱情麻辣烫》、《下辈子还做母子》、《背起爸爸上学》等因名额所限虽未能获奖，但也属优秀之列。	0:还有 1:有一些 2:一些 4:影片 9:超导 14:生命 21:上海 23:新娘 28:激情 30:辩护 37:星空 42:黄连 44:厚朴 49:爱情 51:麻辣/麻辣烫 57:下辈/下辈子 58:辈子 62:母子 69:爸爸 71:上学 76:名额 81:未能 83:获奖 89:优秀	一些 [yi1 xie1] some; a few; a little; (following an adjective) slightly ...; 下辈 [xia4 bei4] younger generation; offspring; 下辈子 [xia4 bei4 zi5] the next life; 有一些 [you3 yi1 xie1] somewhat; some; 辈子 [bei4 zi5] lifetime; 还有 [hai2 you3] furthermore; in addition; 麻辣 [ma2 la4] hot and numbing; 麻辣烫 [ma2 la4 tang4] hot spicy soup (often sold at street stalls)
它是住在亚运村的黄万英夫妇养的一只鹩哥，它不但能说“你好”、“再见”，还能清晰地唱“东方红，太阳升”，尤其是学小孩叫“妈妈”和“奶奶”，惟妙惟肖，理所当然地获得鹩哥组第一名。	4:亚运/亚运村 11:夫妇 17:鹩哥 21:不但 26:你好 31:再见 37:清晰 42:东方/东方红 46:太阳 51:尤其/尤其是 55:小孩 59:妈妈 64:奶奶 68:惟妙惟肖 73:理所当然 75:当然 78:获得 80:鹩哥 83:第一	东方 [Dong1 fang1] the East; the Orient / two-character surname Dongfang | [dong1 fang1] east; 东方红 [Dong1 fang1 Hong2] The East is Red, north Shaanxi folk song; 亚运 [Ya4 yun4] Asian Games; 亚运村 [Ya4 yun4 cun1] Yayuncun neighborhood of Beijing; 尤其 [you2 qi2] especially; particularly; 尤其是 [you2 qi2 shi4] especially; in particular; 当然 [dang1 ran2] of course; naturally; 理所当然 [li3 suo3 dang1 ran2] as it should be; natural and expected
辽宁省宽甸满族自治县公安交通警察大队本着为国家分忧、为企业解难的宗旨，在全体民警中开展了“与下岗司机交朋友”活动。	0:辽宁/辽宁省 3:宽甸/宽甸满族自治县 5:满族 7:自治/自治县 10:公安 12:交通/交通警察 14:警察 16:大队 18:本着 21:国家 23:分忧 27:企业 32:宗旨 36:全体 38:民警 41:开展 46:下岗 48:司机 50:交朋友 51:朋友 54:活动	交朋友 [jiao1 peng2 you5] to make friends / (dialect) to start an affair with sb; 交通 [jiao1 tong1] to be connected / traffic; transportation / communications / liaison; 交通警察 [jiao1 tong1 jing3 cha2] traffic police; 宽甸 [Kuan1 dian4] Kuandian Manchu autonomous county in Liaoning / abbr. for 寬甸滿族自治縣|宽甸满族自治县; 宽甸满族自治县 [Kuan1 dian4 Man3 zu2 Zi4 zhi4 xian4] Kuandian Manchu autonomous county in Dandong 丹東|丹东[Dan1 d...; 朋友 [peng2 you5] friend / CL:個|个[ge4],位[wei4]; 满族 [Man3 zu2] Manchu ethnic group of Liaoning province; 自治 [zi4 zhi4] autonomy; 自治县 [zi4 zhi4 xian4] autonomous county; 警察 [jing3 cha2] police; police officer; 辽宁 [Liao2 ning2] see 遼寧省|辽宁省[Liao2 ning2 Sheng3]; 辽宁省 [Liao2 ning2 Sheng3] Liaoning Province, capital Shenyang 瀋陽市|沈阳市[Shen3 yang2 S...
电影演员王馥荔与鞍钢业余京剧演员谭凤坤的合作段子《红灯记》“痛说家史”珠联璧合，相得益彰；集体相声《请到我们厂里来》令人捧腹，忍俊不禁；张振富、耿莲凤演唱的《祖国一片新面貌》风采不减当年……	0:电影/电影演员 2:演员 10:业余 12:京剧 14:演员 20:合作 22:段子 25:红灯/红灯记 35:珠联璧合 40:相得益彰 41:得益 45:集体 47:相声 52:我们 58:令人 60:捧腹 63:忍俊/忍俊不禁 65:不禁 75:演唱 79:祖国 84:面貌 87:风采 89:不减当年 91:当年	不减当年 [bu4 jian3 dang1 nian2] as good as ever; 不禁 [bu4 jin1] can't help; can't refrain from; 当年 [dang1 nian2] in those days; back then; in those years / to be in the prime of life | [dang4 nian2] that very same year; 得益 [de2 yi4] to derive benefit; 忍俊 [ren3 jun4] smiling; 忍俊不禁 [ren3 jun4 bu4 jin1] cannot help laughing; 演员 [yan3 yuan2] actor; actress; performer; 电影 [dian4 ying3] movie; film / CL:部[bu4],片[pian4],場|场[chang3]; 电影演员 [dian4 ying3 yan3 yuan2] movie actor/actress; 相得益彰 [xiang1 de2 yi4 zhang1] to bring out the best in each other; 红灯 [hong2 deng1] red light; 红灯记 [Hong2 deng1 ji4] The Legend of the Red Lantern
从历史上看，从石器时代到铁器时代，花了几万年，到蒸汽机出现，又花了几千年的时间，到电气时代，花了几百年时间，到用上计算机是几十年的时间。	1:历史/历史上 2:史上 7:石器/石器时代 9:时代 12:铁器 14:时代 20:万年 24:蒸汽/蒸汽机 27:出现 33:几千 34:千年 37:时间 41:电气 43:时代 49:百年 51:时间 57:计算/计算机 65:时间	几千 [ji3 qian1] several thousand; 千年 [qian1 nian2] millennium; 历史 [li4 shi3] history / CL:門|门[men2],段[duan4]; 历史上 [li4 shi3 shang4] historical; in history; 史上 [shi3 shang4] in history; 时代 [Shi2 dai4] Time, US weekly news magazine | [shi2 dai4] age; era; epoch; period / CL:個|个[ge4]; 石器 [shi2 qi4] stone tool; stone implement; 石器时代 [Shi2 qi4 Shi2 dai4] Stone Age; 蒸汽 [zheng1 qi4] steam; 蒸汽机 [zheng1 qi4 ji1] steam engine; 计算 [ji4 suan4] to calculate; to compute / to consider; to think over / to plot; to scheme; 计算机 [ji4 suan4 ji1] computer / (Tw) calculator / CL:臺|台[tai2]
当饱尝堵车之苦的人们，以每小时８０—１００公里的速度在姆尼布高架桥和７．２６环城路驾车飞驰之际都会情不自禁地觉得这简直是一个难以置信的梦想。	1:饱尝 3:堵车 8:人们 13:小时 21:公里 24:速度 30:高架/高架桥 31:架桥 38:环城 41:驾车 43:飞驰 45:之际 47:都会 49:情不自禁 52:禁地 54:觉得 57:简直 60:一个 62:难以/难以置信 64:置信 67:梦想	情不自禁 [qing2 bu4 zi4 jin1] (idiom) cannot refrain from; cannot help; cannot but; 架桥 [jia4 qiao2] to bridge; to put up a bridge; 禁地 [jin4 di4] forbidden area; restricted area; 置信 [zhi4 xin4] to believe (what sb claims) (usually used in the negative) / (math.) confidence (interval etc); 难以 [nan2 yi3] hard to (predict, imagine etc); 难以置信 [nan2 yi3 zhi4 xin4] (idiom) hard to believe; incredible; 高架 [gao1 jia4] overhead; elevated; 高架桥 [gao1 jia4 qiao2] viaduct; flyover
三峡工程库区移民李圣贤每天骑着摩托车穿行于秭归新县城的大街小巷，拿着电喇叭吆喝着卖豆花。	0:三峡 2:工程 6:移民 9:圣贤 11:每天 15:摩托/摩托车 18:穿行 21:秭归 23:新县 24:县城 27:大街/大街小巷 29:小巷 35:喇叭 37:吆喝 41:豆花	县城 [xian4 cheng2] county seat; county town; 大街 [da4 jie1] street; main street / CL:條|条[tiao2]; 大街小巷 [da4 jie1 xiao3 xiang4] great streets and small alleys (idiom); everywhere in the...; 小巷 [xiao3 xiang4] alley; 摩托 [mo2 tuo1] (loanword) motor / (loanword) motorbike; motorcycle (abbr. for 摩托車|摩托车[mo2 t...; 摩托车 [mo2 tuo1 che1] (loanword) motorbike; motorcycle / CL:輛|辆[liang4],部[bu4]; 新县 [Xin1 Xian4] Xin County or Xinxian, a county in Xinyang City 信陽市|信阳市[X...
瘦小的余长生今年４３岁，一家４口，自己患有肺炎、气管炎，生活一直非常拮据，住着破房子已达６年之久。	0:瘦小 1:小的 4:长生 6:今年 12:一家 17:自己 19:患有 21:肺炎 24:气管/气管炎 28:生活 30:一直 32:非常 34:拮据 40:房子 45:年之久	小的 [xiao3 de5] (coll.) young child; the little one(s) of the family / (old) (humble) I; me; my (used by a commoner when speakin...; 气管 [qi4 guan3] windpipe; trachea / air duct / gas pipe; 气管炎 [qi4 guan3 yan2] bacterial tracheitis (inflammation of the windpipe, often... / henpecked (a pun on 妻子管得嚴|妻子管得严[qi1 zi5 guan3 de5 yan2] u...; 瘦小 [shou4 xiao3] slightly-built; petite
爱是一面辽阔光滑的回音壁，微小的爱意反复回响着，折射着，变成巨大的轰鸣。	2:一面 4:辽阔 6:光滑 9:回音 13:微小 14:小的 16:爱意 18:反复 20:回响 24:折射 28:变成 30:巨大 33:轰鸣	小的 [xiao3 de5] (coll.) young child; the little one(s) of the family / (old) (humble) I; me; my (used by a commoner when speakin...; 微小 [wei1 xiao3] minute; infinitesimal
