sentence	spans	defs
但由于后市交易者获利回吐，使得比价最终回落至１美元兑换１４０·３０日元，略低于上一个交易日的价格。	1:由于 5:交易/交易者 8:获利/获利回吐 10:回吐 13:使得 15:比价 17:最终 19:回落 23:美元 25:兑换 33:日元 37:低于 39:上一个 40:一个 42:交易/交易日 46:价格	一个 [yi1 ge5] a; an; one / the whole (afternoon, summer vacation etc); 上一个 [shang4 yi1 ge5] previous one; 交易 [jiao1 yi4] to trade; transaction / CL:筆|笔[bi3]; 交易日 [jiao1 yi4 ri4] (finance) trading day; 交易者 [jiao1 yi4 zhe3] dealer; 回吐 [hui2 tu3] to regurgitate / (fig.) (of a stock market) to give up (gains); 获利 [huo4 li4] to profit; to obtain benefits; 获利回吐 [huo4 li4 hui2 tu3] (finance) profit-taking
当地盛产热带水果，芒果、香蕉、木瓜等在许多地方烂得掉在地上无人问津，而当地超级市场、自选市场里销售的水果罐头、果酱罐头等价格高得惊人。	0:当地 2:盛产 4:热带 6:水果 9:芒果 12:香蕉 15:木瓜 19:许多 21:地方 26:在地 27:地上 29:无人/无人问津 31:问津 35:当地 37:超级/超级市场 39:市场 42:自选 44:市场 47:销售 50:水果 52:罐头 55:果酱 57:罐头 58:头等 59:等价 60:价格 64:惊人	价格 [jia4 ge2] price / CL:個|个[ge4]; 在地 [zai4 di4] (Tw) local; native (from Taiwanese 在地, Tai-lo pr. [tsāi-...; 地上 [di4 shang5] on the ground; on the floor; 头等 [tou2 deng3] first class; prime; main; 市场 [shi4 chang3] marketplace; market; bazaar / (economics) market; 无人 [wu2 ren2] unmanned; uninhabited; 无人问津 [wu2 ren2 wen4 jin1] to be of no interest to anyone (idiom); 等价 [deng3 jia4] equal; equivalent; 罐头 [guan4 tou5] tin; can; canned food / CL:個|个[ge4]; 超级 [chao1 ji2] super-; ultra-; hyper-; 超级市场 [chao1 ji2 shi4 chang3] supermarket; 问津 [wen4 jin1] to make inquiries (mostly used in the negative)
酒精对食管粘膜和胃粘膜有较大刺激和损害，许多调查表明，长期饮酒是食道癌、胃癌及肝癌的成因之一。	0:酒精 3:食管 12:较大 14:刺激 17:损害 20:许多 22:调查/调查表 24:表明 27:长期 29:饮酒 32:食道/食道癌 36:胃癌 39:肝癌 42:成因 43:因之 44:之一	之一 [zhi1 yi1] one of (something) / one (third, quarter, percent etc); 因之 [yin1 zhi1] for this reason; 成因 [cheng2 yin1] cause; factor; 表明 [biao3 ming2] to make clear; to indicate; 调查 [diao4 cha2] to investigate; investigation / to survey; survey; poll / CL:項|项[xiang4],個|个[ge4]; 调查表 [diao4 cha2 biao3] questionnaire / inventory list / CL:張|张[zhang1],份[fen4]; 食道 [shi2 dao4] esophagus; gullet / (old) the proper way to eat / (old) food transportation route; 食道癌 [shi2 dao4 ai2] esophageal cancer
与汤杯四强争胜、难测汤杯谁属的混战局面相比，本届尤杯的决赛队伍已经产生。	3:四强 8:难测 15:混战 16:战局 17:局面 18:面相 19:相比 22:本届 27:决赛 29:队伍 31:已经 33:产生	局面 [ju2 mian4] situation; phase; aspect; 战局 [zhan4 ju2] war situation; 混战 [hun4 zhan4] chaotic warfare; melee; 相比 [xiang1 bi3] to compare; 面相 [mian4 xiang4] facial features; appearance / physiognomy
最先有台湾风味的红茶坊，泡沫红茶为主饮的“寒舍”一下冒出好几家。	0:最先 1:先有 3:台湾 5:风味 8:红茶 9:茶坊 12:泡沫 14:红茶 16:为主 21:寒舍 24:一下 28:好几	先有 [xian1 you3] prior; preexisting; 最先 [zui4 xian1] (the) very first; 红茶 [hong2 cha2] black tea / CL:杯[bei1],壺|壶[hu2]; 茶坊 [cha2 fang2] teahouse
从他们走过来的步子，人们不难受到启迪。	1:他们 3:走过 4:过来 7:步子 10:人们 13:难受 14:受到 16:启迪	受到 [shou4 dao4] to receive; to be subjected to; 走过 [zou3 guo4] to walk past; to pass by; 过来 [guo4 lai2] to come over / to manage; to handle; to take care of | [guo4 lai5] see 過來|过来[guo4 lai2]; 难受 [nan2 shou4] to feel unwell; to suffer
第二天清晨，我们穿上羽绒衣、毛裤，“全副武装”向３０公里外的甲吾拉山顶进军。	0:第二/第二天 3:清晨 6:我们 8:穿上 10:羽绒 18:全副/全副武装 20:武装 26:公里 27:里外 33:山顶 35:进军	全副 [quan2 fu4] completely; 全副武装 [quan2 fu4 wu3 zhuang1] fully armed; fully equipped; 公里 [gong1 li3] kilometer; 武装 [wu3 zhuang1] arms; to arm; armed; 第二 [di4 er4] second; number two; next / secondary; 第二天 [di4 er4 tian1] next day; the morrow; 里外 [li3 wai4] inside and out / or so
这时候，阎希军的助手请教一位很有造诣的专家，从理论上解决了把丹参中最有效的水溶性成份丹参素滴成滴丸的问题。	0:这时 1:时候 8:助手 10:请教 16:造诣 19:专家 23:理论 26:解决 30:丹参 34:有效 37:水溶/水溶性 40:成份 42:丹参 50:问题	时候 [shi2 hou5] time; moment; period; 水溶 [shui3 rong2] water soluble; 水溶性 [shui3 rong2 xing4] water-soluble; water solubility; 这时 [zhe4 shi2] at this time; at this moment
历史小说虚虚实实，最难恰到好处，弟尝戏改《红楼梦》中联语为此体说法云：“假作真时真不假，无生有处有非无。”	0:历史 2:小说 4:虚虚实实 5:虚实 11:恰到好处 13:好处 21:红楼梦 28:为此 31:说法 36:假作	好处 [hao3 chu3] easy to get along with | [hao3 chu5] benefit; advantage; gain / also pr. [hao3chu4]; 恰到好处 [qia4 dao4 hao3 chu4] just right; just perfect; 虚实 [xu1 shi2] truth and falsehood; the real situation; 虚虚实实 [xu1 xu1 shi2 shi2] hard to tell if it's real or sham
其中一位黑人姑娘身材高挑、肌肉健硕，上身一件蓝色Ｔ恤衫，下身一条精致的牛仔裤，秀美的面庞上带着甜甜的微笑。	0:其中 4:黑人 6:姑娘 8:身材 10:高挑 13:肌肉 15:健硕 18:上身 22:蓝色 25:恤衫 28:下身 32:精致 35:牛仔/牛仔裤 39:秀美 40:美的 42:面庞 50:微笑	牛仔 [niu2 zai3] cowboy; 牛仔裤 [niu2 zai3 ku4] jeans / CL:條|条[tiao2]; 秀美 [xiu4 mei3] elegant; graceful; 美的 [Mei3 di2] Midea (brand)
