sentence	spans	defs
由于信息技术产业的带动，该县的经济发展速度在全美国名列前茅。	0:由于 2:信息/信息技术 4:技术 6:产业 9:带动 15:经济/经济发展 17:发展 19:速度 22:全美 23:美国 24:国名 25:名列/名列前茅 27:前茅	信息 [xin4 xi1] information; news; message; 信息技术 [xin4 xi1 ji4 shu4] information technology; IT; 全美 [quan2 Mei3] throughout the United States; 前茅 [qian2 mao2] the top ranks; 发展 [fa1 zhan3] development; to develop; to grow; 名列 [ming2 lie4] to rank; to be listed among; 名列前茅 [ming2 lie4 qian2 mao2] to rank among the best; 国名 [guo2 ming2] name of country; 技术 [ji4 shu4] technology; technique; skill / CL:門|门[men2],種|种[zhong3],項|项[xiang4]; 经济 [jing1 ji4] economy; economic; 经济发展 [jing1 ji4 fa1 zhan3] economic development; 美国 [Mei3 guo2] United States; USA; US
据认为，脱氧核糖核酸受损伤是引起人体细胞突然变异和致癌的原因之一。	1:认为 4:脱氧/脱氧核糖/脱氧核糖核酸 6:核糖/核糖核酸 8:核酸 10:受损 11:损伤 14:引起 16:人体 17:体细胞 18:细胞 20:突然 22:变异 25:致癌 28:原因 29:因之 30:之一	之一 [zhi1 yi1] one of (something) / one (third, quarter, percent etc); 人体 [ren2 ti3] human body; 体细胞 [ti3 xi4 bao1] somatic cell; 原因 [yuan2 yin1] cause; reason / CL:個|个[ge4]; 受损 [shou4 sun3] to suffer damage; 因之 [yin1 zhi1] for this reason; 损伤 [sun3 shang1] to harm; to damage; impairment; loss; 核糖 [he2 tang2] ribose; 核糖核酸 [he2 tang2 he2 suan1] ribonucleic acid (RNA); 核酸 [he2 suan1] nucleic acid / (coll.) nucleic acid test (abbr. for 核酸檢測|核酸检测[he2 suan1 ...; 细胞 [xi4 bao1] cell (biology); 脱氧 [tuo1 yang3] deoxidation; 脱氧核糖 [tuo1 yang3 he2 tang2] deoxyribose; 脱氧核糖核酸 [tuo1 yang3 he2 tang2 he2 suan1] DNA
穆巴拉克说，他与以色列国防部长会谈的主要目的是为了共同寻求有助于和平进程继续向前发展的途径。	0:穆巴拉克 1:巴拉克 8:以色列 10:列国 11:国防/国防部/国防部长 13:部长/部长会 15:会谈 18:主要 19:要目 20:目的 23:为了 25:共同 27:寻求 29:有助/有助于 32:和平 34:进程 36:继续 38:向前 40:发展 43:途径	主要 [zhu3 yao4] main; principal; major; primary; 以色列 [Yi3 se4 lie4] Israel; 会谈 [hui4 tan2] talks; discussions / CL:次[ci4]; 列国 [lie4 guo2] various countries; 国防 [guo2 fang2] national defense; 国防部 [Guo2 fang2 bu4] Defense Department; Ministry of National Defense; 国防部长 [guo2 fang2 bu4 zhang3] Defense secretary; Defense Minister; 巴拉克 [Ba1 la1 ke4] Barack, Barak, Ballack (name); 有助 [you3 zhu4] helpful; beneficial; 有助于 [you3 zhu4 yu2] to contribute to; to promote; 目的 [mu4 di4] purpose; aim; goal; target; objective / CL:個|个[ge4]; 穆巴拉克 [Mu4 ba1 la1 ke4] Hosni Mubarak (1928-2020), former Egyptian President and ...; 要目 [yao4 mu4] important substance; key section; 部长 [bu4 zhang3] head of a department; minister / CL:個|个[ge4],位[wei4],名[ming2]; 部长会 [bu4 zhang3 hui4] minister level conference
正在芬兰访问的俄罗斯外长普里马科夫在和芬兰外长哈洛宁举行的联合记者招待会上强调，国际社会应敦促印度和巴基斯坦签署《不扩散核武器条约》和《全面禁止核试验条约》，但表示不赞成对印巴实行经济制裁。	0:正在 2:芬兰 4:访问 7:俄罗斯 8:罗斯 10:外长 14:马科 19:芬兰 21:外长 24:洛宁 26:举行 29:联合 31:记者/记者招待会 33:招待/招待会 34:待会 37:强调 40:国际/国际社会 42:社会 45:敦促 47:印度 50:巴基斯坦 54:签署 57:不扩散核武器条约 58:扩散 60:核武/核武器 61:武器 63:条约 68:全面/全面禁止/全面禁止核试验条约 70:禁止 72:核试/核试验 73:试验 75:条约 80:表示 82:不赞成 83:赞成 84:成对 86:印巴 88:实行 89:行经 90:经济/经济制裁 92:制裁	不扩散核武器条约 [Bu4 Kuo4 san4 He2 wu3 qi4 Tiao2 yue1] Treaty on the Non-Proliferation of Nuclear Weapons; 不赞成 [bu4 zan4 cheng2] to disapprove; disapproval; 俄罗斯 [E2 luo2 si1] Russia; 全面 [quan2 mian4] comprehensive; all-around; overall; 全面禁止 [quan2 mian4 jin4 zhi3] complete prohibition; total ban; 全面禁止核试验条约 [Quan2 mian4 Jin4 zhi3 He2 shi4 yan4 Tiao2 yue1] Comprehensive Nuclear-Test-Ban Treaty; 制裁 [zhi4 cai2] to punish; sanctions; 国际 [guo2 ji4] international; 国际社会 [guo2 ji4 she4 hui4] the international community; 实行 [shi2 xing2] to implement; to carry out; 待会 [dai1 hui5] wait a moment; 成对 [cheng2 dui4] to form a pair; 扩散 [kuo4 san4] to spread; to proliferate; to diffuse; 招待 [zhao1 dai4] to hold a reception; to offer hospitality; to entertain (...; 招待会 [zhao1 dai4 hui4] a reception / CL:個|个[ge4],次[ci4]; 条约 [tiao2 yue1] treaty; pact / CL:個|个[ge4]; 核武 [he2 wu3] nuclear weapon; 核武器 [he2 wu3 qi4] nuclear weapon; 核试 [he2 shi4] nuclear weapons test; 核试验 [he2 shi4 yan4] nuclear test; 武器 [wu3 qi4] weapon; arms / CL:種|种[zhong3]; 社会 [she4 hui4] society / CL:個|个[ge4]; 禁止 [jin4 zhi3] to prohibit; to forbid; to ban; 经济 [jing1 ji4] economy; economic; 经济制裁 [jing1 ji4 zhi4 cai2] economic sanctions; 罗斯 [Luo2 si1] Ross; Roth (surname) / Rus' (as in Kievan Rus' 基輔羅斯|基辅罗斯[Ji1 fu3 Luo2 si1]); 行经 [xing2 jing1] to pass by / menstruation; 记者 [ji4 zhe3] reporter; journalist / CL:個|个[ge4]; 记者招待会 [ji4 zhe3 zhao1 dai4 hui4] press conference; 试验 [shi4 yan4] experiment; test; experimental / CL:次[ci4],個|个[ge4]; 赞成 [zan4 cheng2] to approve; to endorse / (literary) to assist
在世界绝大多数国家业已签署《全面禁止核试验条约》的今天，印度如此紧锣密鼓地发展核力量，是一个严重的事态。	0:在世 1:世界 3:绝大多数 4:大多/大多数 5:多数 7:国家 8:家业 9:业已 11:签署 14:全面/全面禁止/全面禁止核试验条约 16:禁止 18:核试/核试验 19:试验 21:条约 25:今天 28:印度 30:如此 32:紧锣密鼓 37:发展 40:力量 44:一个 46:严重 49:事态	世界 [shi4 jie4] world / CL:個|个[ge4]; 业已 [ye4 yi3] already; 全面 [quan2 mian4] comprehensive; all-around; overall; 全面禁止 [quan2 mian4 jin4 zhi3] complete prohibition; total ban; 全面禁止核试验条约 [Quan2 mian4 Jin4 zhi3 He2 shi4 yan4 Tiao2 yue1] Comprehensive Nuclear-Test-Ban Treaty; 国家 [guo2 jia1] country; nation; state / CL:個|个[ge4]; 在世 [zai4 shi4] to be alive; 多数 [duo1 shu4] majority; most; 大多 [da4 duo1] mostly; for the most part; 大多数 [da4 duo1 shu4] (great) majority; 家业 [jia1 ye4] family property; 条约 [tiao2 yue1] treaty; pact / CL:個|个[ge4]; 核试 [he2 shi4] nuclear weapons test; 核试验 [he2 shi4 yan4] nuclear test; 禁止 [jin4 zhi3] to prohibit; to forbid; to ban; 绝大多数 [jue2 da4 duo1 shu4] the vast majority; 试验 [shi4 yan4] experiment; test; experimental / CL:次[ci4],個|个[ge4]
第四条香港特别行政区选举的全国人民代表大会代表必须是香港特别行政区居民中的中国公民。	1:四条 3:香港 5:特别/特别行政区 7:行政/行政区 8:政区 10:选举 13:全国/全国人民代表大会 14:国人 15:人民/人民代表 17:代表 19:大会 21:代表 23:必须 26:香港 28:特别/特别行政区 30:行政/行政区 31:政区 33:居民 35:中的 37:中国 39:公民	人民 [ren2 min2] the people / CL:個|个[ge4]; 人民代表 [ren2 min2 dai4 biao3] deputy to the People's Congress; 代表 [dai4 biao3] to represent; representative / CL:位[wei4],個|个[ge4],名[ming2]; 全国 [quan2 guo2] whole nation; nationwide; national; 全国人民代表大会 [Quan2 guo2 Ren2 min2 Dai4 biao3 Da4 hui4] National People's Congress (NPC); 国人 [guo2 ren2] compatriots; fellow countrymen; 大会 [da4 hui4] general assembly; convention / CL:個|个[ge4],屆|届[jie4]; 政区 [zheng4 qu1] administrative division; 特别 [te4 bie2] special; especially; in particular; 特别行政区 [te4 bie2 xing2 zheng4 qu1] special administrative region (SAR); 行政 [xing2 zheng4] administration; administrative; 行政区 [xing2 zheng4 qu1] administrative district
全市上半年经济增长超过百分之八。	0:全市 2:上半/上半年 3:半年 5:经济/经济增长 7:增长 9:超过 11:百分/百分之 12:分之	上半 [shang4 ban4] first half; 上半年 [shang4 ban4 nian2] first half (of a year); 分之 [fen1 zhi1] (indicating a fraction); 半年 [ban4 nian2] half a year; 增长 [zeng1 zhang3] to grow; to increase; 百分 [bai3 fen1] percent; percentage; 百分之 [bai3 fen1 zhi1] percent; 经济 [jing1 ji4] economy; economic; 经济增长 [jing1 ji4 zeng1 zhang3] economic growth
本报讯中国残疾人联合会所属的华夏出版社，积极开展捐资助学活动，捐书、捐款资助残疾儿童和残疾人子女上学，拓宽了为残疾人服务的渠道。	0:本报 3:中国/中国残疾人联合会 5:残疾/残疾人 8:联合/联合会 10:会所 11:所属 14:华夏 16:出版/出版社 20:积极 22:开展 24:捐资 25:资助 28:活动 34:捐款 36:资助 37:助残 38:残疾/残疾儿 40:儿童 43:残疾/残疾人 45:人子 46:子女 48:上学 51:拓宽 55:残疾/残疾人 58:服务 61:渠道	中国 [Zhong1 guo2] China; 中国残疾人联合会 [Zhong1 guo2 Can2 ji2 ren2 Lian2 he2 hui4] China Disabled Persons' Federation; 人子 [ren2 zi3] son of man; 会所 [hui4 suo3] clubhouse; meeting place; club; 儿童 [er2 tong2] child; 出版 [chu1 ban3] to publish; 出版社 [chu1 ban3 she4] publishing house; 助残 [zhu4 can2] to help people with disabilities; 子女 [zi3 nu:3] children; sons and daughters; 所属 [suo3 shu3] affiliated; belonging to / subordinate; under one's command; 捐资 [juan1 zi1] to contribute funds; 残疾 [can2 ji2] disabled; handicapped; deformity; 残疾人 [can2 ji2 ren2] disabled person; 残疾儿 [can2 ji2 er2] a child with a birth defect; 联合 [lian2 he2] to unite; to combine; alliance; 联合会 [lian2 he2 hui4] federation; 资助 [zi1 zhu4] to subsidize; to provide financial aid
各证券经营机构用拆借资金从事证券交易的，中国人民银行要取消该机构负责人金融机构高级管理人员的任职资格。	1:证券/证券经营 3:经营 5:机构 8:拆借 10:资金 12:从事 13:事证 14:证券 16:交易 20:中国/中国人/中国人民银行 21:国人 22:人民/人民银行 24:银行 27:取消 30:机构 32:负责/负责人 35:金融/金融机构 37:机构 39:高级 41:管理/管理人 43:人员 46:任职 48:资格	中国 [Zhong1 guo2] China; 中国人 [Zhong1 guo2 ren2] Chinese person; 中国人民银行 [Zhong1 guo2 Ren2 min2 Yin2 hang2] People's Bank of China; 事证 [shi4 zheng4] evidence; 人员 [ren2 yuan2] staff; personnel; crew / CL:個|个[ge4]; 人民 [ren2 min2] the people / CL:個|个[ge4]; 人民银行 [Ren2 min2 Yin2 hang2] People's Bank of China; 从事 [cong2 shi4] to engage in; to undertake; to deal with; 国人 [guo2 ren2] compatriots; fellow countrymen; 机构 [ji1 gou4] mechanism; structure / organization; agency; institution / CL:所[suo3]; 管理 [guan3 li3] to manage; to administer; management / CL:個|个[ge4]; 管理人 [guan3 li3 ren2] supervisor; manager; administrator; 经营 [jing1 ying2] to engage in (business etc); to run; to operate; 证券 [zheng4 quan4] securities; stocks and bonds; 证券经营 [zheng4 quan4 jing1 ying2] securities dealing; brokering; 负责 [fu4 ze2] to be responsible for; to be in charge of; to bear respon... / conscientious; 负责人 [fu4 ze2 ren2] person in charge; 金融 [jin1 rong2] finance; banking; financial; 金融机构 [jin1 rong2 ji1 gou4] financial institution; 银行 [yin2 hang2] bank / CL:家[jia1],個|个[ge4]
中国海洋石油总公司一班人从强烈的责任感出发，今年以来千方百计降低成本。	0:中国/中国海/中国海洋石油总公司 2:海洋 4:石油 6:总公司 7:公司 11:人从 13:强烈 16:责任/责任感 19:出发 22:今年 24:以来 26:千方百计 30:降低 31:低成本 32:成本	中国 [Zhong1 guo2] China; 中国海 [Zhong1 guo2 Hai3] the China Seas (the seas of the Western Pacific Ocean, ar...; 中国海洋石油总公司 [Zhong1 guo2 Hai3 yang2 Shi2 you2 Zong3 gong1 si1] CNOOC; China National Offshore Oil Corporation; 低成本 [di1 cheng2 ben3] low cost; inexpensive; 公司 [gong1 si1] company; firm; corporation / CL:家[jia1]; 总公司 [zong3 gong1 si1] parent company; head office; 成本 [cheng2 ben3] (manufacturing, production etc) costs; 海洋 [hai3 yang2] ocean / CL:個|个[ge4]; 石油 [shi2 you2] oil; petroleum; 责任 [ze2 ren4] responsibility; duty / blame / CL:個|个[ge4]; 责任感 [ze2 ren4 gan3] sense of responsibility; 降低 [jiang4 di1] to reduce; to lower; to bring down
