sentence	spans	defs
库瓦斯的竞选伙伴，红党主席阿加尼亚当选为副总统。	1:瓦斯 4:竞选 6:伙伴 10:党主席 11:主席 16:亚当 17:当选 20:副总统 21:总统	主席 [zhu3 xi2] chairperson; chairman; premier / CL:個|个[ge4],位[wei4]; 亚当 [Ya4 dang1] Adam; 党主席 [dang3 zhu3 xi2] party chief; 副总统 [fu4 zong3 tong3] vice-president; 当选 [dang1 xuan3] to be elected; to be selected; 总统 [zong3 tong3] president (of a country) / CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]
从这个意义上说，今天已经发生在水两岸农村的变化和这个变化所推动的整个汉中山区的巨变，对于多少年后的人们来说，就不能不说是令人瞠目结舌的现实神话故事了。	1:这个 3:意义 8:今天 10:已经 12:发生 16:两岸 18:农村 21:变化 24:这个 26:变化 29:推动 32:整个 34:汉中 35:中山/中山区 36:山区 39:巨变 42:对于 44:多少 45:少年 49:人们 55:不能/不能不 60:令人 62:瞠目/瞠目结舌 64:结舌 67:现实 69:神话/神话故事 71:故事	不能 [bu4 neng2] cannot / must not; should not; 不能不 [bu4 neng2 bu4] have to; cannot but; 中山 [Zhong1 shan1] Nakayama (Japanese surname) / see 中山市[Zhong1 shan1 Shi4] / see 中山區|中山区[Zhong1 shan1 Qu1] / see 孫中山|孙中山[Sun1 Zhong1 shan1]; 中山区 [Zhong1 shan1 Qu1] Zhongshan District; 多少 [duo1 shao3] number; amount / somewhat | [duo1 shao5] how much?; how many?; what number?; 少年 [shao4 nian2] youth; youngster; 山区 [shan1 qu1] mountain area / CL:個|个[ge4]; 故事 [gu4 shi4] old practice | [gu4 shi5] narrative; story; tale; 汉中 [Han4 zhong1] see 漢中市|汉中市[Han4 zhong1 Shi4]; 瞠目 [cheng1 mu4] to stare; 瞠目结舌 [cheng1 mu4 jie2 she2] (idiom) dumbfounded; flabbergasted; stunned; 神话 [shen2 hua4] myth; legend; mythology; 神话故事 [shen2 hua4 gu4 shi5] mythical story; myth; 结舌 [jie2 she2] tongue-tied; unable to speak
经过两天的紧张打捞，在波罗的海海底沉睡了８２年之久的大批名酒终于在２６日凌晨重见天日。	0:经过 5:紧张 7:打捞 11:波罗/波罗的/波罗的海 15:海底 17:沉睡 22:年之久 26:大批 28:名酒 30:终于 36:凌晨 38:重见天日 39:见天	波罗 [Bo1 luo2] Polo (car made by Volkswagen) / surname Polo; 波罗的 [Bo1 luo2 di4] Baltic; 波罗的海 [Bo1 luo2 di4 Hai3] Baltic Sea; 见天 [jian4 tian1] (coll.) every day; 重见天日 [chong2 jian4 tian1 ri4] to see the light again (idiom); delivered from oppression
心连心艺术团编组的三支深入高炉前、轧机旁、连铸机边演出的小分队出发了，整场演出井然有序地进行着。	3:艺术 6:编组 11:深入 13:高炉 17:轧机 21:连铸 25:演出 29:分队 31:出发 37:演出 39:井然/井然有序 41:有序 44:进行	井然 [jing3 ran2] tidy, methodical; 井然有序 [jing3 ran2 you3 xu4] everything clear and in good order (idiom); neat and tidy; 有序 [you3 xu4] orderly; in order
７月２１日，前内阁官房长官山静六、厚生相小泉纯一郎和外相小渊惠三正式报名竞选，自民党总裁选举形成三雄鼎立之势。	7:内阁 9:官房长官 11:长官 17:厚生相 20:小泉/小泉纯一郎 26:外相 28:小渊/小渊惠三 32:正式 34:报名 36:竞选 39:自民党 42:总裁 44:选举 46:形成 50:鼎立	官房长官 [guan1 fang2 zhang3 guan1] chief cabinet secretary (Japan); 小泉 [Xiao3 quan2] Koizumi (Japanese surname); 小泉纯一郎 [Xiao3 quan2 Chun2 yi1 lang2] KOIZUMI Jun'ichirō (1942-), Japanese LDP politician, prim...; 小渊 [Xiao3 yuan1] Obuchi (Japanese surname); 小渊惠三 [Xiao3 yuan1 Hui4 san1] Obuchi Keizo (1937-2000), Japanese politician, prime mini...; 长官 [zhang3 guan1] senior official; commanding officer / CL:位[wei4]
１月２８日上午１０时，沉没于湖北武昌金口镇长江中达５８年之久的中山舰终于重见天日。	5:上午 11:沉没 14:湖北 16:武昌 20:镇长 21:长江 27:年之久 31:中山 34:终于 36:重见天日 37:见天	见天 [jian4 tian1] (coll.) every day; 重见天日 [chong2 jian4 tian1 ri4] to see the light again (idiom); delivered from oppression; 镇长 [zhen4 zhang3] town headman; mayor / bailiff; 长江 [Chang2 Jiang1] Yangtze River, or Chang Jiang
为使复垦工作有规划、适度开发、循序渐进，市土地管理部门还组织人员，历时五个月，实地丈量，登记分类，摸清了『六荒』资源的底子，绘制了后备资源分布图，建立了详尽的土地开发复垦台账。	4:工作 7:规划 10:适度 12:开发 15:循序/循序渐进 17:渐进 21:土地 23:管理 25:部门 28:组织 30:人员 33:历时 39:实地 41:丈量 44:登记 45:记分 46:分类 49:摸清 56:资源 59:底子 62:绘制 65:后备 67:资源 69:分布/分布图 73:建立 76:详尽 79:土地 81:开发 85:台账	分布 [fen1 bu4] to distribute; distribution; 分布图 [fen1 bu4 tu2] distribution chart; 分类 [fen1 lei4] to classify; 循序 [xun2 xu4] in proper sequence; 循序渐进 [xun2 xu4 jian4 jin4] in sequence, step by step (idiom); to make steady progres...; 渐进 [jian4 jin4] to progress step by step; 登记 [deng1 ji4] to register (one's name); 记分 [ji4 fen1] to keep score
前些时候，日本东映株式会社投下１５亿日元拍出电影《自尊》，为战犯东条英机涂脂抹粉，并掩饰南京大屠杀的罪行，引起日本国内外舆论大哗。	0:前些 2:时候 5:日本 9:株式会社 11:会社 18:日元 20:拍出 22:电影 25:自尊 30:战犯 32:东条英机 36:涂脂抹粉 42:掩饰 44:南京/南京大屠杀 46:大屠杀 47:屠杀 50:罪行 53:引起 55:日本 56:本国 57:国内/国内外 58:内外 60:舆论	会社 [hui4 she4] guild; association / the Japanese word for company; 内外 [nei4 wai4] inside and outside; domestic and foreign / approximately; about; 南京 [Nan2 jing1] Nanjing, capital of the Ming dynasty (1368–1421) and of t... / see 南京市[Nan2 jing1 Shi4]; 南京大屠杀 [Nan2 jing1 Da4 tu2 sha1] the Nanjing Massacre (1937-38); 国内 [guo2 nei4] domestic; internal to a country / civil; 国内外 [guo2 nei4 wai4] domestic and international; at home and abroad; 大屠杀 [da4 tu2 sha1] massacre; mass slaughter; 屠杀 [tu2 sha1] to massacre; to slaughter; 日本 [Ri4 ben3] Japan; 本国 [ben3 guo2] one's own country; 株式会社 [zhu1 shi4 hui4 she4] Japanese corporation; kabushiki-gaisha
美国曾是“中国威胁论”的始作俑者和鼓吹者，而且至今仍有人在弹“中国威胁论”的老调。	0:美国 5:中国 6:国威 7:威胁 12:始作俑者 17:鼓吹/鼓吹者 21:而且 23:至今 26:有人 31:中国 32:国威 33:威胁	中国 [Zhong1 guo2] China; 国威 [guo2 wei1] national prestige; 威胁 [wei1 xie2] to threaten; to menace; 鼓吹 [gu3 chui1] to agitate for; to promote; 鼓吹者 [gu3 chui1 zhe3] advocate
１９６８年２月入伍，历任干事、教导员，长沙市望城县人武部副部长，长沙市东区人武部政委，中共长沙市东区区委副书记，１９９５年７月起任中共长沙市芙蓉区区委书记。	7:入伍 10:历任 12:干事 15:教导 19:长沙/长沙市 20:沙市 22:望城 25:人武 28:副部长 29:部长 32:长沙/长沙市 33:沙市 37:人武 40:政委 43:中共 45:长沙/长沙市 46:沙市 49:区区 52:副书记 53:书记 65:中共 67:长沙/长沙市 68:沙市 70:芙蓉/芙蓉区 72:区区 75:书记	书记 [shu1 ji5] secretary (chief official of a branch of a socialist or c... / clerk; scribe; 副书记 [fu4 shu1 ji5] deputy secretary; 副部长 [fu4 bu4 zhang3] assistant (government) minister; 区区 [qu1 qu1] insignificant; merely; 沙市 [Sha1 shi4] see 沙市區|沙市区[Sha1 shi4 Qu1]; 芙蓉 [fu2 rong2] cotton rose hibiscus (Hibiscus mutabilis) / lotus / foo yung (Chinese dish similar to an omelet); 芙蓉区 [Fu2 rong2 Qu1] Furong, a district of Changsha City 長沙市|长沙市[Chang2 sha1 S...; 部长 [bu4 zhang3] head of a department; minister / CL:個|个[ge4],位[wei4],名[ming2]; 长沙 [Chang2 sha1] see 長沙市|长沙市[Chang2 sha1 Shi4] / see 長沙縣|长沙县[Chang2 sha1 Xian4]; 长沙市 [Chang2 sha1 Shi4] Changsha, prefecture-level city and capital of Hunan Prov...
